# T.32 Role Classification Matrix — full enumeration (generated)
# axes: stat | reach | durability | playstyle | speed | intent  =>  role_code  =>  role
# total combos: 1512

stat   reach  durability playstyle speed   intent  | role_code                                    | role
--------------------------------------------------------------------------------------------------------
str    melee  squishy    auto      moloch  damage  | str-melee-squishy-auto-moloch-damage         | swashbuckler
str    melee  squishy    auto      moloch  utility | str-melee-squishy-auto-moloch-utility        | support
str    melee  squishy    auto      moloch  hybrid  | str-melee-squishy-auto-moloch                | swashbuckler
str    melee  squishy    auto      leaden  damage  | str-melee-squishy-auto-leaden-damage         | swashbuckler
str    melee  squishy    auto      leaden  utility | str-melee-squishy-auto-leaden-utility        | support
str    melee  squishy    auto      leaden  hybrid  | str-melee-squishy-auto-leaden                | swashbuckler
str    melee  squishy    auto      heavy   damage  | str-melee-squishy-auto-heavy-damage          | swashbuckler
str    melee  squishy    auto      heavy   utility | str-melee-squishy-auto-heavy-utility         | support
str    melee  squishy    auto      heavy   hybrid  | str-melee-squishy-auto-heavy                 | swashbuckler
str    melee  squishy    auto      hybrid  damage  | str-melee-squishy-auto-damage                | swashbuckler
str    melee  squishy    auto      hybrid  utility | str-melee-squishy-auto-utility               | support
str    melee  squishy    auto      hybrid  hybrid  | str-melee-squishy-auto                       | swashbuckler
str    melee  squishy    auto      light   damage  | str-melee-squishy-auto-light-damage          | swashbuckler
str    melee  squishy    auto      light   utility | str-melee-squishy-auto-light-utility         | support
str    melee  squishy    auto      light   hybrid  | str-melee-squishy-auto-light                 | swashbuckler
str    melee  squishy    auto      swift   damage  | str-melee-squishy-auto-swift-damage          | swashbuckler
str    melee  squishy    auto      swift   utility | str-melee-squishy-auto-swift-utility         | support
str    melee  squishy    auto      swift   hybrid  | str-melee-squishy-auto-swift                 | swashbuckler
str    melee  squishy    auto      blazing damage  | str-melee-squishy-auto-blazing-damage        | swashbuckler
str    melee  squishy    auto      blazing utility | str-melee-squishy-auto-blazing-utility       | support
str    melee  squishy    auto      blazing hybrid  | str-melee-squishy-auto-blazing               | swashbuckler
str    melee  squishy    hybrid    moloch  damage  | str-melee-squishy-moloch-damage              | swashbuckler
str    melee  squishy    hybrid    moloch  utility | str-melee-squishy-moloch-utility             | support
str    melee  squishy    hybrid    moloch  hybrid  | str-melee-squishy-moloch                     | swashbuckler
str    melee  squishy    hybrid    leaden  damage  | str-melee-squishy-leaden-damage              | swashbuckler
str    melee  squishy    hybrid    leaden  utility | str-melee-squishy-leaden-utility             | support
str    melee  squishy    hybrid    leaden  hybrid  | str-melee-squishy-leaden                     | swashbuckler
str    melee  squishy    hybrid    heavy   damage  | str-melee-squishy-heavy-damage               | swashbuckler
str    melee  squishy    hybrid    heavy   utility | str-melee-squishy-heavy-utility              | support
str    melee  squishy    hybrid    heavy   hybrid  | str-melee-squishy-heavy                      | swashbuckler
str    melee  squishy    hybrid    hybrid  damage  | str-melee-squishy-damage                     | swashbuckler
str    melee  squishy    hybrid    hybrid  utility | str-melee-squishy-utility                    | support
str    melee  squishy    hybrid    hybrid  hybrid  | str-melee-squishy                            | swashbuckler
str    melee  squishy    hybrid    light   damage  | str-melee-squishy-light-damage               | swashbuckler
str    melee  squishy    hybrid    light   utility | str-melee-squishy-light-utility              | support
str    melee  squishy    hybrid    light   hybrid  | str-melee-squishy-light                      | swashbuckler
str    melee  squishy    hybrid    swift   damage  | str-melee-squishy-swift-damage               | swashbuckler
str    melee  squishy    hybrid    swift   utility | str-melee-squishy-swift-utility              | support
str    melee  squishy    hybrid    swift   hybrid  | str-melee-squishy-swift                      | swashbuckler
str    melee  squishy    hybrid    blazing damage  | str-melee-squishy-blazing-damage             | swashbuckler
str    melee  squishy    hybrid    blazing utility | str-melee-squishy-blazing-utility            | support
str    melee  squishy    hybrid    blazing hybrid  | str-melee-squishy-blazing                    | swashbuckler
str    melee  squishy    ability   moloch  damage  | str-melee-squishy-ability-moloch-damage      | assassin
str    melee  squishy    ability   moloch  utility | str-melee-squishy-ability-moloch-utility     | support
str    melee  squishy    ability   moloch  hybrid  | str-melee-squishy-ability-moloch             | assassin
str    melee  squishy    ability   leaden  damage  | str-melee-squishy-ability-leaden-damage      | assassin
str    melee  squishy    ability   leaden  utility | str-melee-squishy-ability-leaden-utility     | support
str    melee  squishy    ability   leaden  hybrid  | str-melee-squishy-ability-leaden             | assassin
str    melee  squishy    ability   heavy   damage  | str-melee-squishy-ability-heavy-damage       | assassin
str    melee  squishy    ability   heavy   utility | str-melee-squishy-ability-heavy-utility      | support
str    melee  squishy    ability   heavy   hybrid  | str-melee-squishy-ability-heavy              | assassin
str    melee  squishy    ability   hybrid  damage  | str-melee-squishy-ability-damage             | assassin
str    melee  squishy    ability   hybrid  utility | str-melee-squishy-ability-utility            | support
str    melee  squishy    ability   hybrid  hybrid  | str-melee-squishy-ability                    | assassin
str    melee  squishy    ability   light   damage  | str-melee-squishy-ability-light-damage       | assassin
str    melee  squishy    ability   light   utility | str-melee-squishy-ability-light-utility      | support
str    melee  squishy    ability   light   hybrid  | str-melee-squishy-ability-light              | assassin
str    melee  squishy    ability   swift   damage  | str-melee-squishy-ability-swift-damage       | assassin
str    melee  squishy    ability   swift   utility | str-melee-squishy-ability-swift-utility      | support
str    melee  squishy    ability   swift   hybrid  | str-melee-squishy-ability-swift              | assassin
str    melee  squishy    ability   blazing damage  | str-melee-squishy-ability-blazing-damage     | assassin
str    melee  squishy    ability   blazing utility | str-melee-squishy-ability-blazing-utility    | support
str    melee  squishy    ability   blazing hybrid  | str-melee-squishy-ability-blazing            | assassin
str    melee  hybrid     auto      moloch  damage  | str-melee-auto-moloch-damage                 | swashbuckler
str    melee  hybrid     auto      moloch  utility | str-melee-auto-moloch-utility                | support
str    melee  hybrid     auto      moloch  hybrid  | str-melee-auto-moloch                        | swashbuckler
str    melee  hybrid     auto      leaden  damage  | str-melee-auto-leaden-damage                 | swashbuckler
str    melee  hybrid     auto      leaden  utility | str-melee-auto-leaden-utility                | support
str    melee  hybrid     auto      leaden  hybrid  | str-melee-auto-leaden                        | swashbuckler
str    melee  hybrid     auto      heavy   damage  | str-melee-auto-heavy-damage                  | swashbuckler
str    melee  hybrid     auto      heavy   utility | str-melee-auto-heavy-utility                 | support
str    melee  hybrid     auto      heavy   hybrid  | str-melee-auto-heavy                         | swashbuckler
str    melee  hybrid     auto      hybrid  damage  | str-melee-auto-damage                        | swashbuckler
str    melee  hybrid     auto      hybrid  utility | str-melee-auto-utility                       | support
str    melee  hybrid     auto      hybrid  hybrid  | str-melee-auto                               | swashbuckler
str    melee  hybrid     auto      light   damage  | str-melee-auto-light-damage                  | swashbuckler
