team_a,team_b,weather,outcome,duration_ticks,hp_remaining_a,hp_remaining_b,timed_out
champ_boulderhide_skink|champ_sunspear_falcon@3,champ_glade_heron|enemy_standard_bearer,clear,win,3549,4133,0,0
champ_frostfang_wolverine@3|enemy_reaver_of_the_reach@3,enemy_lord_commander|enemy_stretcher_hand@2,clear,win,4174,5242,0,0
champ_boulderhide_skink@2|enemy_picket@3,champ_nerei@3|enemy_steam_engineer@3,clear,loss,4000,0,4427,0
champ_phantom_lynx@2|enemy_company_captain@2,enemy_lord_commander|enemy_voltaic_diviner@3,clear,loss,4647,0,2226,0
enemy_archmagus_imperator@3|enemy_quarried_behemoth@2,enemy_shroud_killer@2|enemy_slag_sentinel,clear,win,4666,7272,0,0
champ_iceclaw_lynx@2|champ_tempest_eel@2,champ_permafrost_walrus@3|champ_will_o_fawn@2,clear,win,7200,202,0,0
champ_phantom_lynx|champ_riptide_caiman@3,enemy_hexblade_officer|enemy_riven_frost_wyrm@3,clear,loss,7200,0,853,0
champ_ember_salamander|enemy_steam_engineer@2,enemy_sundered_lord@2|enemy_voltaic_diviner@3,clear,loss,2400,0,3258,0
champ_fogveil_moth@2|champ_riptide_caiman@3,champ_reedbank_otter@3|champ_thunderhide_bison@2,clear,win,4880,3229,0,0
champ_pebbleback_pangolin@3|enemy_arcanist@2,champ_sunmane_lion@2|enemy_stormhawk@2,clear,win,4800,3433,0,0
champ_aerion|champ_tempest_eel@2,enemy_dredge_hulk@2|enemy_reaver_of_the_reach@2,clear,loss,7818,0,1576,0
champ_sunmane_lion|enemy_sergeant_at_arms,champ_wintermoth@3|enemy_archmagus_imperator,clear,loss,8834,0,1678,0
champ_geode_beetle|enemy_blight_lurker@3,champ_tempest_eel@2|enemy_drowned_siren@2,clear,win,7200,3154,0,0
champ_fogveil_moth@2|enemy_blight_lurker@2,champ_thunderhoof_colt|enemy_maw_of_the_drowned,clear,loss,11442,0,355,0
champ_dusk_bat@2|champ_voltmane_jackal@2,champ_phantom_lynx@2|enemy_sundered_lord@3,clear,loss,4132,0,4217,0
champ_geode_beetle@2|champ_grovekeeper_tapir@3,champ_reedbank_otter|champ_sparkfly@3,clear,win,11962,3985,0,0
champ_frostplate_tortoise@3|champ_geode_beetle@2,champ_frostquill_porcupine@2|enemy_blight_lurker@3,clear,draw,12000,0,2428,1
champ_cliffeyrie_eagle@2|champ_riptide_caiman,champ_veilfang_wolf@3|enemy_cannoneer@2,clear,loss,5589,0,4031,0
champ_lostlight_wisp|enemy_voltaic_diviner,champ_wintermoth|enemy_company_guard,clear,draw,12000,539,0,1
champ_sunspear_falcon|enemy_standard_bearer,enemy_picket|enemy_thunder_bull@2,clear,loss,6000,0,740,0
champ_coral_colossus@2|enemy_field_chaplain@2,champ_goldhide_rhino|enemy_iron_maiden@2,clear,draw,12071,0,1286,1
champ_coral_colossus@3|enemy_stone_warden@3,champ_eclipse_jaguar@3|champ_mournhollow@3,clear,draw,12095,4821,0,1
champ_lostlight_wisp@3|enemy_battlemage,enemy_avalanche_engine|enemy_spymaster@2,clear,draw,12040,0,0,1
champ_eclipse_jaguar|champ_sunmane_lion@3,champ_permafrost_walrus|enemy_pikeman@3,clear,win,6667,2920,0,0
champ_phantom_lynx@2|enemy_archmagus_imperator@3,enemy_cannoneer|enemy_quarry_crawler@2,clear,win,4000,4230,0,0
champ_storm_eagle@3|enemy_iron_maiden@3,enemy_conscript|enemy_quarry_crawler@3,clear,win,4800,9176,0,0
champ_marshghast_boar|enemy_iron_maiden,enemy_sergeant_at_arms@3|enemy_spymaster@2,clear,loss,11515,0,3341,0
champ_lostlight_wisp|enemy_sundered_lord,enemy_company_guard|enemy_riflemaster@3,clear,loss,4564,0,3948,0
champ_glade_heron|champ_thunderhoof_colt,champ_iceclaw_lynx@3|enemy_crossbow_levy,clear,loss,4800,0,3059,0
champ_hoarfrost_owl@2|enemy_field_chaplain,enemy_caged_storm_drake@2|enemy_standard_bearer@3,clear,loss,8666,0,3557,0
champ_aegis_tortoise@2|enemy_drowned_siren@2,champ_storm_eagle@3|enemy_heavy_knight@2,clear,loss,4800,0,5760,0
champ_permafrost_walrus|champ_veilfang_wolf@3,enemy_heavy_knight|enemy_steam_knight@3,clear,win,9600,1259,0,0
champ_spectral_heron@3|enemy_maw_of_the_drowned@2,enemy_field_medic@3|enemy_iron_collared_hound,clear,win,7200,5468,0,0
champ_lostlight_wisp@3|champ_sparkfly@3,enemy_blight_lurker@3|enemy_field_chaplain@3,clear,draw,12077,0,2327,1
champ_iceclaw_lynx|champ_nerei@3,champ_lostlight_wisp@2|enemy_battlemage@3,clear,win,4667,4384,0,0
champ_sunmane_lion@2|enemy_iron_maiden@2,champ_wintermoth|enemy_standard_bearer@2,clear,win,6000,4343,0,0
champ_dawnwisp|champ_glacierback_mammoth@3,champ_iceclaw_lynx|enemy_slag_sentinel,clear,win,7582,5779,0,0
champ_frostplate_tortoise@2|enemy_gunslinger,champ_grovekeeper_tapir@2|enemy_hexblade_officer@3,clear,loss,7200,0,3659,0
champ_grovekeeper_tapir@3|champ_sunmane_lion,champ_spectral_heron|enemy_picket@3,clear,draw,12057,365,0,1
champ_permafrost_walrus|enemy_company_guard,enemy_levyman|enemy_thunder_bull@3,clear,loss,4593,0,4125,0
champ_nightglass_mantis|champ_veilfang_wolf,enemy_cannoneer|enemy_stormhawk@2,clear,win,5389,1097,0,0
champ_goldcrest_lark@2|enemy_drowned_siren,champ_reedbank_otter@2|champ_spectral_heron,clear,loss,4800,0,2096,0
champ_aegis_tortoise|enemy_riven_frost_wyrm,enemy_iron_collared_hound@2|enemy_levyman,clear,win,9999,1034,0,0
champ_borealis|champ_glade_heron,champ_voltmane_jackal|enemy_grand_marshal@2,clear,loss,7421,0,1905,0
champ_phantom_lynx@2|enemy_reaver_of_the_reach@2,champ_riptide_caiman|enemy_maw_of_the_drowned@2,clear,loss,4032,0,2054,0
enemy_battlemage@3|enemy_steam_engineer@3,enemy_crossbow_levy@3|enemy_hollowed_wisp,clear,win,5981,1978,0,0
champ_glacierback_mammoth|enemy_signal_drummer@3,champ_mirage_caracal@2|enemy_hexblade_officer@2,clear,loss,9798,0,542,0
champ_fogveil_moth@2|champ_frostfang_wolverine@2,champ_sparkfly|enemy_pikeman@3,clear,win,7109,1307,0,0
champ_dusk_bat@3|champ_snowpelt_cub@3,champ_umbra@2|enemy_archmagus_imperator@3,clear,loss,7333,0,5453,0
champ_thunderhoof_colt@3|enemy_standard_bearer,enemy_hexblade_officer@2|enemy_sergeant_at_arms@3,clear,loss,9600,0,2067,0
champ_aerion|champ_ember_salamander,champ_duskstep_marten|enemy_slag_sentinel@3,clear,loss,7200,0,2213,0
champ_marsh_thrush|champ_sunmane_lion,enemy_iron_collared_hound|enemy_sergeant_at_arms@2,clear,loss,10466,0,636,0
champ_borealis@2|enemy_reaver_of_the_reach@2,champ_duskstep_marten@3|champ_will_o_fawn@3,clear,win,10800,1677,0,0
champ_cliffeyrie_eagle@2|champ_voltscale_mamba@2,champ_eclipse_jaguar@2|champ_riptide_caiman,clear,win,6769,237,0,0
champ_eclipse_jaguar@3|enemy_glacier_goliath@3,champ_goldhide_rhino@2|enemy_iron_collared_hound@3,clear,win,10666,5398,0,0
champ_ember_salamander@3|enemy_drained_stalker@2,champ_frostquill_porcupine@3|enemy_lord_commander@3,clear,loss,4205,0,6563,0
champ_granite_gorilla@2|enemy_powder_sapper@2,enemy_flood_tyrant@3|enemy_quarried_behemoth@2,clear,loss,6000,0,7336,0
