team_a,team_b,weather,outcome,duration_ticks,hp_remaining_a,hp_remaining_b,timed_out
champ_frostfang_wolverine@3|enemy_reaver_of_the_reach@3,enemy_lord_commander|enemy_stretcher_hand@2,cloudy,win,4140,5327,0,0
champ_boulderhide_skink|champ_sunspear_falcon@3,champ_glade_heron|enemy_standard_bearer,cloudy,win,3692,4100,0,0
champ_boulderhide_skink@2|enemy_picket@3,champ_nerei@3|enemy_steam_engineer@3,cloudy,loss,4503,0,4291,0
champ_phantom_lynx@2|enemy_company_captain@2,enemy_lord_commander|enemy_voltaic_diviner@3,cloudy,loss,4800,0,2227,0
enemy_archmagus_imperator@3|enemy_quarried_behemoth@2,enemy_shroud_killer@2|enemy_slag_sentinel,cloudy,win,4666,7272,0,0
champ_fogveil_moth@2|champ_riptide_caiman@3,champ_reedbank_otter@3|champ_thunderhide_bison@2,cloudy,win,5032,3124,0,0
champ_iceclaw_lynx@2|champ_tempest_eel@2,champ_permafrost_walrus@3|champ_will_o_fawn@2,cloudy,win,7200,0,0,0
champ_aerion|champ_tempest_eel@2,enemy_dredge_hulk@2|enemy_reaver_of_the_reach@2,cloudy,loss,7200,0,2478,0
champ_ember_salamander|enemy_steam_engineer@2,enemy_sundered_lord@2|enemy_voltaic_diviner@3,cloudy,loss,2400,0,3258,0
champ_phantom_lynx|champ_riptide_caiman@3,enemy_hexblade_officer|enemy_riven_frost_wyrm@3,cloudy,loss,7744,0,459,0
champ_sunmane_lion|enemy_sergeant_at_arms,champ_wintermoth@3|enemy_archmagus_imperator,cloudy,loss,8582,0,1678,0
champ_pebbleback_pangolin@3|enemy_arcanist@2,champ_sunmane_lion@2|enemy_stormhawk@2,cloudy,win,4800,3502,0,0
champ_coral_colossus@2|enemy_field_chaplain@2,champ_goldhide_rhino|enemy_iron_maiden@2,cloudy,draw,12082,0,437,1
champ_dusk_bat@2|champ_voltmane_jackal@2,champ_phantom_lynx@2|enemy_sundered_lord@3,cloudy,loss,4882,0,4173,0
champ_sunspear_falcon|enemy_standard_bearer,enemy_picket|enemy_thunder_bull@2,cloudy,loss,6103,0,740,0
champ_geode_beetle|enemy_blight_lurker@3,champ_tempest_eel@2|enemy_drowned_siren@2,cloudy,win,7333,2630,0,0
champ_lostlight_wisp|enemy_voltaic_diviner,champ_wintermoth|enemy_company_guard,cloudy,draw,12022,407,0,1
champ_fogveil_moth@2|enemy_blight_lurker@2,champ_thunderhoof_colt|enemy_maw_of_the_drowned,cloudy,win,11899,783,0,0
champ_geode_beetle@2|champ_grovekeeper_tapir@3,champ_reedbank_otter|champ_sparkfly@3,cloudy,win,11780,4035,0,0
champ_cliffeyrie_eagle@2|champ_riptide_caiman,champ_veilfang_wolf@3|enemy_cannoneer@2,cloudy,loss,7529,0,3059,0
champ_eclipse_jaguar|champ_sunmane_lion@3,champ_permafrost_walrus|enemy_pikeman@3,cloudy,win,6667,2920,0,0
champ_frostplate_tortoise@3|champ_geode_beetle@2,champ_frostquill_porcupine@2|enemy_blight_lurker@3,cloudy,draw,12024,0,1939,1
champ_lostlight_wisp@3|enemy_battlemage,enemy_avalanche_engine|enemy_spymaster@2,cloudy,draw,12044,0,0,1
champ_marshghast_boar|enemy_iron_maiden,enemy_sergeant_at_arms@3|enemy_spymaster@2,cloudy,loss,10800,0,3477,0
champ_coral_colossus@3|enemy_stone_warden@3,champ_eclipse_jaguar@3|champ_mournhollow@3,cloudy,draw,12108,3782,0,1
champ_phantom_lynx@2|enemy_archmagus_imperator@3,enemy_cannoneer|enemy_quarry_crawler@2,cloudy,win,5149,3906,0,0
champ_lostlight_wisp|enemy_sundered_lord,enemy_company_guard|enemy_riflemaster@3,cloudy,loss,4564,0,4047,0
champ_hoarfrost_owl@2|enemy_field_chaplain,enemy_caged_storm_drake@2|enemy_standard_bearer@3,cloudy,loss,9058,0,3524,0
champ_storm_eagle@3|enemy_iron_maiden@3,enemy_conscript|enemy_quarry_crawler@3,cloudy,win,7030,8179,0,0
champ_lostlight_wisp@3|champ_sparkfly@3,enemy_blight_lurker@3|enemy_field_chaplain@3,cloudy,draw,12077,0,2327,1
champ_spectral_heron@3|enemy_maw_of_the_drowned@2,enemy_field_medic@3|enemy_iron_collared_hound,cloudy,win,7200,5468,0,0
champ_aegis_tortoise@2|enemy_drowned_siren@2,champ_storm_eagle@3|enemy_heavy_knight@2,cloudy,loss,4800,0,5760,0
champ_glade_heron|champ_thunderhoof_colt,champ_iceclaw_lynx@3|enemy_crossbow_levy,cloudy,loss,5379,0,3008,0
champ_sunmane_lion@2|enemy_iron_maiden@2,champ_wintermoth|enemy_standard_bearer@2,cloudy,win,6000,4315,0,0
champ_grovekeeper_tapir@3|champ_sunmane_lion,champ_spectral_heron|enemy_picket@3,cloudy,draw,12049,859,0,1
champ_dawnwisp|champ_glacierback_mammoth@3,champ_iceclaw_lynx|enemy_slag_sentinel,cloudy,win,7647,5715,0,0
