"stage","size","champ","enemy","sd_wr","timeout"
"1v1",1,0.506567592592593,0.493436574074074,0.266340863547649,0.15507412037037
"2v2",2,0.502606388888889,0.496577314814815,0.183194213818977,0.170170694444444
"3v3",3,0.503795555555556,0.496841574074074,0.149514039938071,0.204173842592593
"4v4",4,0.503209074074074,0.496671851851852,0.131782473230665,0.230917083333333
"5v5",5,0.499647962962963,0.500742685185185,0.116203796942751,0.265280972222222
"6v6",6,0.500804259259259,0.500345092592593,0.112062904258644,0.290218055555556
"7v7",7,0.504610925925926,0.498002314814815,0.102369677084022,0.34489625
"8v8",8,0.502364444444444,0.498649444444444,0.104243949847337,0.348046481481481
"9v9",9,0.502023703703704,0.49755,0.10248840069929,0.358303009259259
"10v10",10,0.503031574074074,0.497448703703704,0.101127985477544,0.367101666666667
