"piece_id","name","affinity","role","tier","level","win_rate","wr_delta"
"enemy_hierarch@3","Hierarch","clear","mage",8,3,0.578593333333333,-0.202111666666667
"enemy_steam_engineer@3","Steam Engineer","clear","mage",4,3,0.378523333333333,-0.162881666666667
"enemy_company_captain@3","Company Captain","clear","mage",5,3,0.427203333333333,-0.142943333333333
"champ_aurion@3","Aurion, the First Dawn","clear","hybrid",10,3,0.78194,-0.132051666666667
"champ_goldcrest_lark@3","Goldcrest Lark","clear","mage",4,3,0.457605,-0.131633333333333
"champ_aerion@3","Aerion, the Skybreaker","thunder","hybrid",10,3,0.739868333333333,-0.12891
"enemy_drowned_siren@3","Drowned Siren","rain","mage",4,3,0.444428333333333,-0.126716666666667
"enemy_veil_lord@3","Veil Lord","mist","hybrid",10,3,0.752101666666667,-0.117775
"champ_umbra@3","Umbra, the Mountain's Shadow","cloudy","hybrid",10,3,0.73917,-0.11769
"champ_coppercrest_stork@3","Coppercrest Stork","thunder","mage",4,3,0.430685,-0.117085
"champ_dusk_bat@3","Dusk Bat","cloudy","mage",2,3,0.38374,-0.117003333333333
"enemy_spymaster@3","Spymaster","clear","assassin",8,3,0.653438333333333,-0.115928333333333
"champ_geode_beetle@3","Geode Beetle","cloudy","mage",4,3,0.417718333333333,-0.114926666666667
"champ_mournhollow@3","Mournhollow, the Pale Stag","mist","hybrid",10,3,0.76479,-0.111453333333333
"champ_marsh_thrush@3","Marsh Thrush","rain","mage",6,3,0.583781666666667,-0.110278333333333
"enemy_stone_warden@3","Stone Warden","cloudy","bruiser",10,3,0.774246666666667,-0.106926666666667
"champ_nerei@3","Nerei, the Floodmother","rain","hybrid",10,3,0.771468333333333,-0.105616666666667
"champ_borealis@3","Borealis, the Pale Aurora","snow","hybrid",10,3,0.762258333333333,-0.104648333333333
"champ_will_o_fawn@3","Will-o-Fawn","mist","mage",2,3,0.416821666666667,-0.0989183333333333
"champ_hoarfrost_owl@3","Hoarfrost Owl","snow","mage",4,3,0.499095,-0.0981383333333333
"enemy_caged_storm_drake@3","Caged Storm-Drake","thunder","hybrid",9,3,0.684586666666667,-0.0976983333333333
"champ_fogveil_moth@3","Fogveil Moth","mist","mage",5,3,0.539895,-0.0926933333333333
"enemy_voltaic_diviner@3","Voltaic Diviner","thunder","mage",5,3,0.538443333333333,-0.0924233333333333
"enemy_flood_tyrant@3","Flood Tyrant","rain","hybrid",10,3,0.785721666666667,-0.0914983333333333
"enemy_standard_bearer@3","Standard Bearer","clear","mage",3,3,0.435848333333333,-0.0912733333333333
"enemy_maw_of_the_drowned@3","Maw of the Drowned","rain","hybrid",9,3,0.70051,-0.0908166666666667
"champ_glade_heron@3","Glade Heron","rain","mage",8,3,0.69384,-0.0897716666666667
"champ_spectral_heron@3","Spectral Heron","mist","mage",9,3,0.744206666666667,-0.0887533333333333
"enemy_frost_sovereign@3","Frost Sovereign","snow","hybrid",10,3,0.78784,-0.0880266666666667
"champ_voltmane_jackal@3","Voltmane Jackal","thunder","hybrid",7,3,0.635203333333333,-0.0863016666666667
"champ_nightglass_mantis@3","Nightglass Mantis","cloudy","assassin",8,3,0.678121666666667,-0.082515
"enemy_hierarch@2","Hierarch","clear","mage",8,2,0.435373333333333,-0.0823683333333333
"enemy_battlemage@3","Battlemage","clear","mage",5,3,0.530075,-0.080955
"champ_mirewarden_toad@3","Mirewarden Toad","rain","assassin",7,3,0.621381666666667,-0.07909
