"stage","size","own","counter","own_minus_counter","sensitivity"
"1v1",1,0.0853431018518519,0.0563000462962963,0.0290430555555556,0
"2v2",2,0.0846938888888889,0.0558644444444444,0.0288294444444444,0
"3v3",3,0.0844177777777778,0.0555923611111111,0.0288254166666667,0
"4v4",4,0.0842820833333333,0.0556588425925926,0.0286232407407407,0
"5v5",5,0.0841676388888889,0.0554789351851852,0.0286887037037037,0
"6v6",6,0.0841121296296296,0.0554127777777778,0.0286993518518519,0
"7v7",7,0.0841389351851852,0.0556638888888889,0.0284750462962963,0
"8v8",8,0.0838756944444444,0.0560603703703704,0.0278153240740741,0
"9v9",9,0.084184212962963,0.0557366666666667,0.0284475462962963,0
"10v10",10,0.0838901851851852,0.05596875,0.0279214351851852,0
