"piece_id","name","tier","affinity","level","win_rate","wr_delta"
"enemy_company_captain@3","Company Captain",5,"clear",3,0.430535714285714,-0.200383333333333
"enemy_hierarch@3","Hierarch",8,"clear",3,0.542645238095238,-0.188716666666667
"champ_glade_heron@3","Glade Heron",8,"rain",3,0.665309523809524,-0.150109523809524
"champ_geode_beetle@3","Geode Beetle",4,"cloudy",3,0.408378571428571,-0.145
"enemy_steam_engineer@3","Steam Engineer",4,"clear",3,0.411533333333333,-0.134759523809524
"champ_coppercrest_stork@3","Coppercrest Stork",4,"thunder",3,0.425747619047619,-0.123378571428571
"champ_goldcrest_lark@3","Goldcrest Lark",4,"clear",3,0.4679,-0.121809523809524
"champ_marsh_thrush@3","Marsh Thrush",6,"rain",3,0.567883333333333,-0.120992857142857
"champ_spectral_heron@3","Spectral Heron",9,"mist",3,0.720242857142857,-0.112095238095238
"champ_will_o_fawn@3","Will-o-Fawn",2,"mist",3,0.462016666666667,-0.103659523809524
"enemy_voltaic_diviner@3","Voltaic Diviner",5,"thunder",3,0.521111904761905,-0.100992857142857
"enemy_battlemage@3","Battlemage",5,"clear",3,0.519773809523809,-0.0929380952380952
"champ_fogveil_moth@3","Fogveil Moth",5,"mist",3,0.53325,-0.0874309523809524
"enemy_drowned_siren@3","Drowned Siren",4,"rain",3,0.392397619047619,-0.0866142857142857
"enemy_standard_bearer@3","Standard Bearer",3,"clear",3,0.420369047619048,-0.0858833333333333
"enemy_caged_banshee@3","Caged Banshee",5,"mist",3,0.508552380952381,-0.083397619047619
"champ_storm_eagle@3","Storm Eagle",9,"thunder",3,0.774140476190476,-0.0706190476190476
"champ_geode_beetle@2","Geode Beetle",4,"cloudy",2,0.38957380952381,-0.0644952380952381
"champ_tempest_eel@3","Tempest Eel",6,"thunder",3,0.5954,-0.0623190476190476
"enemy_signal_drummer@3","Signal Drummer",1,"clear",3,0.370380952380952,-0.0566380952380952
"enemy_stormhawk@2","Stormhawk",4,"thunder",2,0.398345238095238,-0.0561952380952381
"champ_hoarfrost_owl@3","Hoarfrost Owl",4,"snow",3,0.491919047619048,-0.0548166666666667
"enemy_company_captain@2","Company Captain",5,"clear",2,0.357969047619048,-0.0545952380952381
"enemy_field_medic@3","Field Medic",2,"clear",3,0.471597619047619,-0.0538714285714286
"enemy_field_chaplain@3","Field Chaplain",3,"clear",3,0.444180952380952,-0.0527547619047619
"champ_hoarfrost_owl","Hoarfrost Owl",4,"snow",1,0.434690476190476,-0.049897619047619
"enemy_steam_engineer@2","Steam Engineer",4,"clear",2,0.361783333333333,-0.0491571428571429
"champ_will_o_fawn@2","Will-o-Fawn",2,"mist",2,0.346966666666667,-0.0467904761904762
"enemy_battlemage@2","Battlemage",5,"clear",2,0.416883333333333,-0.0456714285714286
"enemy_drowned_siren@2","Drowned Siren",4,"rain",2,0.332645238095238,-0.040097619047619
"champ_sparkfly@3","Sparkfly",1,"thunder",3,0.507509523809524,-0.0398309523809524
"enemy_drained_stalker@2","Drained Stalker",4,"mist",2,0.389333333333333,-0.0375571428571429
"champ_fogveil_moth@2","Fogveil Moth",5,"mist",2,0.444164285714286,-0.0369976190476191
"champ_dusk_bat@3","Dusk Bat",2,"cloudy",3,0.356633333333333,-0.034797619047619
"champ_wintermoth","Wintermoth",2,"snow",1,0.32677380952381,-0.0317904761904762
"enemy_drowned_siren","Drowned Siren",4,"rain",1,0.33275,-0.0304761904761905
"champ_goldcrest_lark","Goldcrest Lark",4,"clear",1,0.347057142857143,-0.0298761904761905
"enemy_hierarch@2","Hierarch",8,"clear",2,0.5035,-0.0295547619047619
"champ_sparkfly","Sparkfly",1,"thunder",1,0.33452380952381,-0.0272214285714286
"enemy_company_captain","Company Captain",5,"clear",1,0.383169047619048,-0.026452380952381
"champ_dawnwisp","Dawnwisp",1,"clear",1,0.371352380952381,-0.0259928571428571
"enemy_stretcher_hand","Stretcher-Hand",1,"clear",1,0.393678571428571,-0.0256285714285714
"enemy_voltaic_diviner","Voltaic Diviner",5,"thunder",1,0.36257380952381,-0.0255857142857143
"champ_geode_beetle","Geode Beetle",4,"cloudy",1,0.344328571428571,-0.0248690476190476
