"piece_id","name","affinity","role","tier","level","win_rate","wr_delta","timeout_rate"
"enemy_iron_collared_hound","Iron-Collared Hound","snow","warrior",3,1,0.299392857142857,-0.0345333333333333,0.207454761904762
"champ_phantom_lynx","Phantom Lynx","mist","assassin",3,1,0.303,-0.02,0.213852380952381
"enemy_pikeman","Pikeman","clear","warrior",2,1,0.305802380952381,0.0206714285714286,0.232057142857143
"enemy_powder_sapper","Powder Sapper","clear","marksman",2,1,0.310802380952381,-0.0113571428571429,0.19787619047619
"champ_frostplate_tortoise","Frostplate Tortoise","snow","warrior",5,1,0.31847380952381,0.0260571428571429,0.169802380952381
"enemy_stretcher_hand@2","Stretcher-Hand","clear","mage",1,2,0.318592857142857,0.0114809523809524,0.2299
"champ_hollow_elk","Hollow Elk","mist","assassin",4,1,0.324895238095238,0.0399809523809524,0.257452380952381
"enemy_standard_bearer","Standard Bearer","clear","mage",3,1,0.325707142857143,0.0122571428571429,0.244252380952381
"champ_will_o_fawn","Will-o-Fawn","mist","mage",2,1,0.326259523809524,0.0112928571428571,0.237169047619048
"champ_wintermoth","Wintermoth","snow","mage",2,1,0.32677380952381,-0.0317904761904762,0.267966666666667
"champ_voltscale_mamba","Voltscale Mamba","thunder","warrior",3,1,0.328497619047619,0.0039547619047619,0.254345238095238
"enemy_steam_engineer","Steam Engineer","clear","mage",4,1,0.329516666666667,0.0201833333333333,0.22557380952381
"enemy_blight_lurker","Blight Lurker","rain","warrior",3,1,0.330145238095238,0.0258357142857143,0.283821428571429
"champ_sparkfly@2","Sparkfly","thunder","mage",1,2,0.331109523809524,0.00779523809523809,0.253107142857143
"enemy_hollowed_wisp@2","Hollowed Wisp","mist","assassin",3,2,0.332342857142857,-0.048352380952381,0.186040476190476
"enemy_drowned_siren@2","Drowned Siren","rain","mage",4,2,0.332645238095238,-0.040097619047619,0.23057380952381
"enemy_drowned_siren","Drowned Siren","rain","mage",4,1,0.33275,-0.0304761904761905,0.205057142857143
"champ_sparkfly","Sparkfly","thunder","mage",1,1,0.33452380952381,-0.0272214285714286,0.19747619047619
"champ_thunderhoof_colt","Thunderhoof Colt","thunder","warrior",2,1,0.340071428571429,0.0567166666666667,0.218352380952381
"champ_geode_beetle","Geode Beetle","cloudy","mage",4,1,0.344328571428571,-0.0248690476190476,0.21907619047619
"enemy_hollowed_wisp","Hollowed Wisp","mist","assassin",3,1,0.346328571428571,-0.00377619047619048,0.229707142857143
"champ_will_o_fawn@2","Will-o-Fawn","mist","mage",2,2,0.346966666666667,-0.0467904761904762,0.268978571428571
"champ_goldcrest_lark","Goldcrest Lark","clear","mage",4,1,0.347057142857143,-0.0298761904761905,0.228764285714286
"enemy_conscript","Conscript","clear","warrior",1,1,0.347445238095238,0.00633095238095238,0.240397619047619
"enemy_picket@2","Picket","clear","marksman",1,2,0.347771428571429,0.019852380952381,0.24832619047619
"champ_goldcrest_lark@2","Goldcrest Lark","clear","mage",4,2,0.350038095238095,-0.0156666666666667,0.257304761904762
"champ_pebbleback_pangolin","Pebbleback Pangolin","cloudy","warrior",1,1,0.350933333333333,-0.0312214285714286,0.251907142857143
"enemy_pikeman@2","Pikeman","clear","warrior",2,2,0.354392857142857,0.0086047619047619,0.29162619047619
"champ_dusk_bat@3","Dusk Bat","cloudy","mage",2,3,0.356633333333333,-0.034797619047619,0.267469047619048
"enemy_field_medic@2","Field Medic","clear","mage",2,2,0.35707380952381,-0.0171166666666667,0.253419047619048
"enemy_company_captain@2","Company Captain","clear","mage",5,2,0.357969047619048,-0.0545952380952381,0.27047380952381
"champ_dusk_bat","Dusk Bat","cloudy","mage",2,1,0.358830952380952,0.0246928571428571,0.257397619047619
"champ_coppercrest_stork","Coppercrest Stork","thunder","mage",4,1,0.3601,0.0213166666666667,0.240666666666667
"champ_voltscale_mamba@2","Voltscale Mamba","thunder","warrior",3,2,0.360195238095238,-0.0512857142857143,0.23287619047619
"enemy_steam_engineer@2","Steam Engineer","clear","mage",4,2,0.361783333333333,-0.0491571428571429,0.274747619047619
"enemy_shaftmaw","Shaftmaw","cloudy","assassin",5,1,0.362035714285714,0.0182833333333333,0.226385714285714
"enemy_voltaic_diviner","Voltaic Diviner","thunder","mage",5,1,0.36257380952381,-0.0255857142857143,0.182752380952381
"enemy_shaftmaw@2","Shaftmaw","cloudy","assassin",5,2,0.362942857142857,-0.0277428571428571,0.215071428571429
"enemy_steam_knight","Steam Knight","clear","warrior",6,1,0.364933333333333,0.000161904761904762,0.212916666666667
"enemy_powder_sapper@2","Powder Sapper","clear","marksman",2,2,0.368809523809524,-0.00417142857142857,0.203078571428571
"enemy_signal_drummer@3","Signal Drummer","clear","mage",1,3,0.370380952380952,-0.0566380952380952,0.325690476190476
"champ_dawnwisp","Dawnwisp","clear","mage",1,1,0.371352380952381,-0.0259928571428571,0.244883333333333
"enemy_caged_banshee","Caged Banshee","mist","mage",5,1,0.37302619047619,0.0330047619047619,0.225819047619048
"champ_lostlight_wisp@2","Lostlight Wisp","mist","mage",1,2,0.373297619047619,0.0334166666666667,0.255128571428571
"enemy_standard_bearer@2","Standard Bearer","clear","mage",3,2,0.374871428571429,-0.00427857142857143,0.287254761904762
"champ_dawnwisp@2","Dawnwisp","clear","mage",1,2,0.375761904761905,-0.00268333333333333,0.202690476190476
"enemy_field_chaplain","Field Chaplain","clear","mage",3,1,0.37962380952381,-0.0215119047619048,0.317659523809524
"champ_thunderclap_gorilla","Thunderclap Gorilla","thunder","warrior",8,1,0.379633333333333,0.0492142857142857,0.205507142857143
"champ_dusk_bat@2","Dusk Bat","cloudy","mage",2,2,0.380071428571429,0.0107428571428571,0.275697619047619
