"name","affinity","role","tier","level","win_rate","wr_delta","wd_z","n_matches"
"Cliffeyrie Eagle","cloudy","marksman",9,3,0.6641,-0.3047,-2.75925682910688,66
"Lostlight Wisp","mist","mage",1,1,0.5078,0.2702,2.8875874673936,222
"Aurion, the First Dawn","clear","hybrid",10,3,0.7551,-0.2449,-2.20761075013815,156
"Riven Frost-Wyrm","snow","hybrid",9,1,0.3313,-0.2359,-2.09546179401838,216
"Hierarch","clear","mage",8,3,0.6824,-0.2214,-2.3463621497323,240
"Flood Tyrant","rain","hybrid",10,2,0.6281,0.2175,2.24586811980377,102
"Aegis Tortoise","clear","warrior",5,3,0.5566,0.2105,2.0487921822458,84
"Cold-Iron Yeti","snow","warrior",4,2,0.3418,-0.2056,-1.86806504847137,126
"Thunder Bull","thunder","warrior",7,2,0.5479,0.197,2.19520941881533,216
"Hoarfrost Owl","snow","mage",4,3,0.5182,-0.1838,-1.63572420430972,180
"Spymaster","clear","assassin",8,3,0.6302,-0.1823,-1.95528326918913,204
"Frostfang Wolverine","snow","warrior",8,1,0.4813,0.18,1.66844763671345,150
"Storm Tyrant","thunder","hybrid",10,2,0.5926,0.1799,1.88373402484309,150
"Hollow Elk","mist","assassin",4,3,0.6168,0.1793,2.23413636977717,132
"Standard Bearer","clear","mage",3,2,0.4265,-0.1787,-2.19202100697641,156
"Caged Banshee","mist","mage",5,3,0.5208,0.1771,1.70229618807436,60
"Shaftmaw","cloudy","assassin",5,2,0.5387,-0.1756,-1.95666001384977,72
"Sundered Lord","mist","hybrid",9,1,0.4189,0.1723,1.84292677172472,204
"Riven Frost-Wyrm","snow","hybrid",9,3,0.5949,-0.1719,-1.47797804044768,234
"Avalanche Engine","snow","marksman",5,2,0.5085,-0.1709,-1.90790159550828,90
"Fogveil Moth","mist","mage",5,3,0.5254,-0.1698,-1.89649005079006,462
"Hoarfrost Owl","snow","mage",4,1,0.4014,-0.1693,-1.48118556943156,186
"Voltaic Diviner","thunder","mage",5,2,0.625,0.1693,1.62137796189061,180
"Umbra, the Mountain's Shadow","cloudy","hybrid",10,3,0.7414,-0.1662,-1.44963326946248,432
"Iron-Collared Hound","snow","warrior",3,3,0.462,0.1662,1.69796501532707,156
"Drowned Siren","rain","mage",4,1,0.254,-0.1653,-1.43855422187896,192
"Aerion, the Skybreaker","thunder","hybrid",10,3,0.8349,-0.1651,-1.4390389209397,48
"Blight Lurker","rain","warrior",3,3,0.5524,0.165,1.68443070617438,528
"Snowpelt Cub","snow","warrior",1,2,0.4576,-0.1638,-2.07473887146063,210
"Heavy Knight","clear","warrior",4,2,0.5813,0.1637,2.06787411432205,252
