"piece_id","name","affinity","role","tier","level","kind","n_matches","n_pair_games","n_pair_wins","n_team_wins","n_team_draws","n_team_timeouts","mean_duration_ticks","win_rate","expected_wr","wr_delta","expected_power","timeout_rate","own_weather_wr","counter_weather_wr","weather_sensitivity","wd_z"
"champ_aegis_tortoise","Aegis Tortoise","clear","warrior",5,1,"champion",216,1272,430,50,67,67,9467.8,0.3381,0.2406,0.0975,2.5198,0.3102,0.3561,0,0.1132,0.876515315737641
"champ_aegis_tortoise@2","Aegis Tortoise","clear","warrior",5,2,"champion",234,1224,514.5,61,73,73,8934,0.4203,0.3676,0.0527,5.0397,0.312,0.4289,0,0.0809,0.411754221759186
"champ_aegis_tortoise@3","Aegis Tortoise","clear","warrior",5,3,"champion",84,468,260.5,29,38,38,10280.1,0.5566,0.3462,0.2105,20.1587,0.4524,0.5577,0,0.0962,2.0487921822458
"champ_aerion","Aerion, the Skybreaker","thunder","hybrid",10,1,"champion",252,1350,641.5,80,61,61,9404.7,0.4752,0.3867,0.0885,8,0.2421,0.4844,0.4822,0.0533,1.0034399748589
"champ_aerion@2","Aerion, the Skybreaker","thunder","hybrid",10,2,"champion",216,1236,640,87,48,48,8937.7,0.5178,0.5631,-0.0453,16,0.2222,0.5024,0.5558,0.0947,-0.285218054549037
"champ_aerion@3","Aerion, the Skybreaker","thunder","hybrid",10,3,"champion",48,318,265.5,35,11,11,8220,0.8349,1,-0.1651,64,0.2292,1,0.7547,0.2453,-1.4390389209397
"champ_aurion","Aurion, the First Dawn","clear","hybrid",10,1,"champion",84,480,215.5,23,14,14,8552.6,0.449,0.375,0.074,8,0.1667,0.4625,0,0.1562,0.863787198876723
"champ_aurion@2","Aurion, the First Dawn","clear","hybrid",10,2,"champion",210,1146,558.5,83,63,63,9533.6,0.4873,0.3717,0.1156,16,0.3,0.4843,0,0.1257,1.26444619755662
"champ_aurion@3","Aurion, the First Dawn","clear","hybrid",10,3,"champion",156,876,661.5,91,65,65,9443.2,0.7551,1,-0.2449,64,0.4167,0.75,0,0.0616,-2.20761075013815
"champ_borealis","Borealis, the Pale Aurora","snow","hybrid",10,1,"champion",240,1356,738.5,84,99,99,10319.8,0.5446,0.5044,0.0402,8,0.4125,0.5487,0.4978,0.0996,0.538251762449307
"champ_borealis@2","Borealis, the Pale Aurora","snow","hybrid",10,2,"champion",246,1326,794.5,125,45,45,8976.8,0.5992,0.6063,-0.0072,16,0.1829,0.629,0.5747,0.0543,0.0817316533765413
"champ_borealis@3","Borealis, the Pale Aurora","snow","hybrid",10,3,"champion",72,486,321.5,41,13,13,8167.5,0.6615,0.7778,-0.1163,64,0.1806,0.6728,0.6728,0.1173,-0.969035095565205
"champ_boulderhide_skink","Boulderhide Skink","cloudy","marksman",3,1,"champion",162,870,402.5,54,43,43,8401.7,0.4626,0.3517,0.1109,1.5874,0.2654,0.4621,0.4448,0.0379,1.07425893520709
"champ_boulderhide_skink@2","Boulderhide Skink","cloudy","marksman",3,2,"champion",246,1170,649.5,85,91,91,9506.1,0.5551,0.4667,0.0885,3.1748,0.3699,0.5718,0.5513,0.0769,0.821618497690133
"champ_boulderhide_skink@3","Boulderhide Skink","cloudy","marksman",3,3,"champion",270,1350,769.5,111,75,75,8895.8,0.57,0.5378,0.0322,12.6992,0.2778,0.5733,0.5311,0.0889,0.186633826609571
"champ_cliffeyrie_eagle","Cliffeyrie Eagle","cloudy","marksman",9,1,"champion",174,1056,356,42,59,59,9851.1,0.3371,0.2045,0.1326,6.3496,0.3391,0.375,0.2841,0.0909,1.4598938808379
"champ_cliffeyrie_eagle@2","Cliffeyrie Eagle","cloudy","marksman",9,2,"champion",192,1110,610.5,65,78,78,9555.2,0.55,0.5297,0.0203,12.6992,0.4062,0.5378,0.5,0.0865,0.376402856994317
"champ_cliffeyrie_eagle@3","Cliffeyrie Eagle","cloudy","marksman",9,3,"champion",66,384,255,34,23,23,9916.8,0.6641,0.9688,-0.3047,50.7968,0.3485,0.5469,0.6094,0.2578,-2.75925682910688
"champ_coppercrest_stork","Coppercrest Stork","thunder","mage",4,1,"champion",216,1080,455,58,40,40,8336,0.4213,0.3667,0.0546,2,0.1852,0.425,0.4444,0.0389,0.905104109824994
"champ_coppercrest_stork@2","Coppercrest Stork","thunder","mage",4,2,"champion",192,954,449.5,52,53,53,8603.6,0.4712,0.6038,-0.1326,4,0.276,0.4811,0.4906,0.044,-1.09004295563649
"champ_coppercrest_stork@3","Coppercrest Stork","thunder","mage",4,3,"champion",294,1656,836,105,102,102,9787.8,0.5048,0.6087,-0.1039,16,0.3469,0.5054,0.5362,0.0688,-0.784163036946618
"champ_coral_colossus","Coral Colossus","rain","warrior",5,1,"champion",264,1572,764.5,71,114,114,9999.6,0.4863,0.4275,0.0588,2.5198,0.4318,0.4752,0.4809,0.0592,0.475036424287502
"champ_coral_colossus@2","Coral Colossus","rain","warrior",5,2,"champion",324,1674,849,101,142,142,10066.2,0.5072,0.3656,0.1416,5.0397,0.4383,0.5287,0.5125,0.0932,1.33401451762268
"champ_coral_colossus@3","Coral Colossus","rain","warrior",5,3,"champion",276,1608,1016.5,102,153,153,10590.2,0.6322,0.5597,0.0725,20.1587,0.5543,0.6231,0.6138,0.0578,0.617162026687164
"champ_dawnwisp","Dawnwisp","clear","mage",1,1,"champion",138,888,337,41,32,32,8999.7,0.3795,0.3514,0.0282,1,0.2319,0.375,0,0.0608,0.120576006557832
"champ_dawnwisp@2","Dawnwisp","clear","mage",1,2,"champion",276,1566,647,75,59,59,8953.2,0.4132,0.3716,0.0415,2,0.2138,0.41,0,0.069,0.272647297587236
"champ_dawnwisp@3","Dawnwisp","clear","mage",1,3,"champion",330,1818,995,104,151,151,10135.3,0.5473,0.5644,-0.0171,8,0.4576,0.5743,0,0.0743,-0.397381097474649
"champ_dusk_bat","Dusk Bat","cloudy","mage",2,1,"champion",168,870,340.5,20,83,83,9752.8,0.3914,0.4483,-0.0569,1.2599,0.494,0.3931,0.3828,0.0793,-1.09853772548455
"champ_dusk_bat@2","Dusk Bat","cloudy","mage",2,2,"champion",192,1116,423.5,39,58,58,9141.6,0.3795,0.3387,0.0408,2.5198,0.3021,0.4005,0.3333,0.0753,0.342352847054257
"champ_dusk_bat@3","Dusk Bat","cloudy","mage",2,3,"champion",192,924,278,21,51,51,9358.9,0.3009,0.3247,-0.0238,10.0794,0.2656,0.3344,0.3052,0.0682,-0.610375208073759
"champ_duskstep_marten","Duskstep Marten","cloudy","assassin",5,1,"champion",240,1386,513.5,61,57,57,8465.5,0.3705,0.4632,-0.0927,2.5198,0.2375,0.4351,0.329,0.1061,-1.09664450735839
"champ_duskstep_marten@2","Duskstep Marten","cloudy","assassin",5,2,"champion",288,1662,828,120,71,71,9494.6,0.4982,0.3863,0.1119,5.0397,0.2465,0.5704,0.5054,0.1047,1.02590281023072
"champ_duskstep_marten@3","Duskstep Marten","cloudy","assassin",5,3,"champion",258,1392,754,106,89,89,9357.5,0.5417,0.5733,-0.0316,20.1587,0.345,0.5733,0.5345,0.0625,-0.462785068919023
"champ_eclipse_jaguar","Eclipse Jaguar","cloudy","hybrid",7,1,"champion",192,1056,678,109,8,8,7669,0.642,0.6307,0.0114,4,0.0417,0.6477,0.625,0.0284,0.0284967732997736
"champ_eclipse_jaguar@2","Eclipse Jaguar","cloudy","hybrid",7,2,"champion",162,876,448,47,72,72,9499.7,0.5114,0.5959,-0.0845,8,0.4444,0.5171,0.4897,0.0514,-1.0910492542053
"champ_eclipse_jaguar@3","Eclipse Jaguar","cloudy","hybrid",7,3,"champion",426,2268,1444,208,156,156,9891.7,0.6367,0.6931,-0.0564,32,0.3662,0.672,0.5608,0.1111,-0.763007091818517
