"piece_id","name","affinity","role","tier","level","kind","n_matches","n_pair_games","n_pair_wins","n_team_wins","n_team_draws","n_team_timeouts","mean_duration_ticks","win_rate","expected_wr","wr_delta","expected_power","timeout_rate","own_weather_wr","counter_weather_wr","weather_sensitivity"
"enemy_hierarch@3","Hierarch","clear","mage",8,3,"enemy",240,1434,978.5,91,138,138,10886.6,0.6824,0.9038,-0.2214,40.3175,0.575,0.6862,,0.0481
"champ_hoarfrost_owl@3","Hoarfrost Owl","snow","mage",4,3,"champion",180,906,469.5,47,60,60,9471.8,0.5182,0.702,-0.1838,16,0.3333,0.5033,0.5199,0.0861
"enemy_standard_bearer@2","Standard Bearer","clear","mage",3,2,"enemy",156,912,389,38,57,57,9375,0.4265,0.6053,-0.1787,3.1748,0.3654,0.4441,0,0.0658
"champ_fogveil_moth@3","Fogveil Moth","mist","mage",5,3,"champion",462,2520,1324,165,160,160,9873.5,0.5254,0.6952,-0.1698,20.1587,0.3463,0.5548,0.5155,0.0488
"champ_hoarfrost_owl","Hoarfrost Owl","snow","mage",4,1,"champion",186,1146,460,69,25,25,8677.5,0.4014,0.5707,-0.1693,2,0.1344,0.3613,0.4634,0.1021
"enemy_drowned_siren","Drowned Siren","rain","mage",4,1,"enemy",192,1116,283.5,19,48,48,8823.2,0.254,0.4194,-0.1653,2,0.25,0.2554,0.2231,0.0538
"champ_geode_beetle@2","Geode Beetle","cloudy","mage",4,2,"champion",372,2064,1069.5,106,140,140,9648.5,0.5182,0.6715,-0.1533,4,0.3763,0.4942,0.5465,0.0523
"enemy_company_captain@3","Company Captain","clear","mage",5,3,"enemy",210,1080,476.5,34,102,102,10531.1,0.4412,0.5833,-0.1421,20.1587,0.4857,0.4306,0,0.0833
"enemy_drained_stalker@2","Drained Stalker","mist","mage",4,2,"enemy",336,1596,610.5,79,72,72,8434.7,0.3825,0.5226,-0.14,4,0.2143,0.3835,0.3778,0.0132
"enemy_voltaic_diviner@3","Voltaic Diviner","thunder","mage",5,3,"enemy",306,1554,846.5,138,76,76,8489.5,0.5447,0.6795,-0.1348,20.1587,0.2484,0.5695,0.5405,0.0985
