"name","affinity","role","tier","n_ctx","tot_matches","wd_pooled","wd_sd","wd_range","noise_sd","excess_sd"
"Caged Banshee","mist","mage",5,54,60,0.05,0.539675828623073,2,0.483476990145343,0.0561988384777297
"Hollowed Wisp","mist","assassin",3,54,156,-0.144223717948718,0.260778646215664,1,0.244305338534689,0.0164733076809751
"Will-o-Fawn","mist","mage",2,54,330,-0.0378815151515152,0.225004330848841,0.9583,0.212436441077686,0.0125678897711552
"Aegis Tortoise","clear","warrior",5,48,84,0.142857142857143,0.401421792859223,1.25,0.391230398217976,0.0101913946412472
"Field Chaplain","clear","mage",3,54,390,-0.0551271794871795,0.1967160114447,0.7,0.189722496334387,0.00699351511031271
"Frostquill Porcupine","snow","marksman",9,54,312,0.0128237179487179,0.162725114333636,0.8,0.157900030839412,0.00482508349422356
"Drowned Siren","rain","mage",4,54,192,-0.119792708333333,0.230667176019183,0.75,0.228344960278707,0.00232221574047645
"Grand Marshal","clear","warrior",10,54,198,-0.0151515151515152,0.116602697929212,0.45,0.115837272263924,0.000765425665288075
"Geode Beetle","cloudy","mage",4,54,150,-0.0833193333333333,0.300009074462016,1,0.303587940900297,-0.00357886643828093
"Riven Frost-Wyrm","snow","hybrid",9,54,96,0.130208333333333,0.366179541478251,1.25,0.377381599477543,-0.0112020579992915
"Drowned Siren","rain","mage",4,54,468,-0.0256346153846154,0.153381631462673,0.5165,0.165336319814483,-0.0119546883518102
"Mirewarden Toad","rain","assassin",7,48,150,-0.00333466666666667,0.274452570762641,1,0.287907605735699,-0.0134550349730589
"Ember Salamander","clear","mage",3,54,264,-0.168558333333333,0.206998347615154,0.75,0.221370318461616,-0.014371970846462
"Pikeman","clear","warrior",2,54,246,0.00406138211382114,0.229525461711113,0.875,0.243978257524284,-0.0144527958131709
"Crossbow Levy","clear","marksman",2,54,294,0.0391156462585034,0.20347366982737,0.9,0.218064130232487,-0.0145904604051168
"Marsh Thrush","rain","mage",6,54,282,-0.0407769503546099,0.198659403814753,0.75,0.213681994391993,-0.0150225905772398
"Riptide Caiman","rain","warrior",9,54,246,0.0345520325203252,0.24055531938176,1.25,0.255864969228791,-0.0153096498470307
"Stormhawk","thunder","mage",4,54,438,-0.121008675799087,0.155549656778205,0.7444,0.171005458008674,-0.0154558012304695
"Iron-Collared Hound","snow","warrior",3,54,366,-0.0765054644808743,0.179283033013232,0.8333,0.194753041394777,-0.0154700083815447
"Coppercrest Stork","thunder","mage",4,54,294,-0.142866666666667,0.206172408809217,1.025,0.221854657139056,-0.0156822483298382
"Standard Bearer","clear","mage",3,54,312,-0.0224416666666667,0.169262536542229,0.6071,0.185897416992869,-0.0166348804506405
"Sunmane Lion","clear","warrior",6,54,294,-0.045921768707483,0.2025836385658,1,0.220015622345923,-0.0174319837801232
"Mournhollow, the Pale Stag","mist","hybrid",10,54,264,-0.0852280303030303,0.182019099403429,0.65,0.200492640923016,-0.0184735415195864
"Steam Knight","clear","warrior",6,54,90,0.00555555555555556,0.381840895054213,1.75,0.400899195071596,-0.0190583000173829
"Gunslinger","clear","marksman",5,54,228,0.157895614035088,0.206340925471955,0.75,0.225916526776886,-0.0195756013049306
"Reedbank Otter","rain","warrior",2,54,384,-0.0572927083333333,0.171042986035182,0.6875,0.191352085154226,-0.0203090991190432
"Coppercrest Stork","thunder","mage",4,48,192,-0.0599041666666667,0.237839738548122,0.9583,0.259755658428443,-0.0219159198803212
"Maw of the Drowned","rain","hybrid",9,54,444,-0.0371648648648649,0.155204599285576,0.6428,0.177321395784787,-0.0221167964992112
"Veil Lord","mist","hybrid",10,54,222,0.0698144144144144,0.232378294348066,0.9,0.255020089736916,-0.0226417953888497
"Frostfang Wolverine","snow","warrior",8,54,150,0.136671333333333,0.284921923419187,1.1666,0.308063590499869,-0.0231416670806819
"Duskstep Marten","cloudy","assassin",5,54,240,-0.102080833333333,0.209033299299351,0.8,0.232662640440375,-0.0236293411410237
"Signal Drummer","clear","mage",1,54,210,0.0380971428571429,0.238625105834851,0.8,0.262365827335791,-0.0237407215009399
"Company Captain","clear","mage",5,54,210,-0.223808571428571,0.263201672130412,0.95,0.287298813162262,-0.0240971410318502
"Spectral Heron","mist","mage",9,54,348,-0.0603347701149425,0.143708222207776,0.625,0.168782477275841,-0.0250742550680651
"Stormhawk","thunder","mage",4,54,300,-0.0416646666666667,0.195098551382514,0.9167,0.221377619944691,-0.0262790685621769
