"plot","panel","group","name","tier","level","role","value","win_rate","cohort_min","cohort_mean","cohort_max"
"m8_12","win_rate~power","2.5198","Frostplate Tortoise",5,1,"tank",0.3525,0.352,0.3544,0.405,0.438
"m8_12","win_rate~power","2.5198","Veldt Pronghorn",2,2,"tank",0.5115,0.511,0.3544,0.405,0.438
"m8_12","win_rate~power","8","Borealis, the Pale Aurora",10,1,"mage",0.6128,0.613,0.4047,0.4864,0.5594
"m8_12","win_rate~power","8","Springfrog",1,3,"support",0.6418,0.642,0.4047,0.4864,0.5594
"m8_12","win_rate~power","16","Steam Engineer",4,3,"mage",0.3768,0.377,0.4251,0.5425,0.6481
"m8_12","win_rate~power","3.1748","Hollowed Wisp",3,2,"assassin",0.3563,0.356,0.3669,0.4204,0.4755
"m8_12","win_rate~power","3.1748","Iron-Collared Hound",3,2,"swashbuckler",0.4985,0.498,0.3669,0.4204,0.4755
"m8_12","win_rate~power","4","Drowned Siren",4,2,"mage",0.3707,0.371,0.394,0.439,0.4821
"m8_12","win_rate~power","32","Marshghast Boar",7,3,"bruiser",0.5712,0.571,0.6114,0.6304,0.661
"m8_12","win_rate~power","32","Mirewarden Toad",7,3,"tank",0.5646,0.565,0.6114,0.6304,0.661
"m8_12","win_rate~power","32","Thunder Bull",7,3,"support",0.7003,0.7,0.6114,0.6304,0.661
"m8_12","win_rate~power","40.3175","Glade Heron",8,3,"marksman",0.8334,0.833,0.6184,0.7062,0.8151
"m8_12","wr_delta~power","5.0397","Coral Colossus",5,2,"tank",0.0505,0.402,-0.0413,-0.0054,0.0295
"m8_12","wr_delta~power","5.0397","Caged Banshee",5,2,"support",0.071,0.478,-0.0413,-0.0054,0.0295
"m8_12","wr_delta~power","5.0397","Hierarch",8,1,"support",0.0595,0.444,-0.0413,-0.0054,0.0295
"m8_12","wr_delta~power","8","Borealis, the Pale Aurora",10,1,"mage",0.1142,0.613,-0.0583,0.0145,0.0943
"m8_12","wr_delta~power","8","Springfrog",1,3,"support",0.1402,0.642,-0.0583,0.0145,0.0943
"m8_12","wr_delta~power","12.6992","Ember Salamander",3,3,"mage",0.0775,0.599,-0.0448,0.0058,0.0457
"m8_12","wr_delta~power","12.6992","Arcanist",9,2,"mage",0.0907,0.64,-0.0448,0.0058,0.0457
"m8_12","wr_delta~power","2","Springfrog",1,2,"support",0.1023,0.481,-0.025,0.0071,0.0419
"m8_12","wr_delta~power","2","Conscript",1,2,"swashbuckler",-0.0743,0.373,-0.025,0.0071,0.0419
"m8_12","wr_delta~power","10.0794","Veilfang Wolf",8,2,"swashbuckler",0.0642,0.525,-0.0299,0.01,0.0509
"m8_12","wr_delta~power","10.0794","Powder Sapper",2,3,"support",-0.0461,0.48,-0.0299,0.01,0.0509
"m8_09","wr_delta~role","tank","Mirewarden Toad",7,3,"tank",-0.1051,0.565,-0.059,5e-04,0.0551
"m8_09","wr_delta~role","tank","Inquisitor",6,3,"tank",-0.0756,0.574,-0.059,5e-04,0.0551
"m8_09","wr_delta~role","tank","Maw of the Drowned",9,3,"tank",-0.1312,0.642,-0.059,5e-04,0.0551
"m8_09","wr_delta~role","tank","Stone Warden",10,3,"tank",-0.1236,0.728,-0.059,5e-04,0.0551
