"piece_id","name","affinity","role","role_code","intent","tier","level","kind","n_matches","n_pair_games","n_pair_wins","n_team_wins","n_team_draws","n_team_timeouts","mean_duration_ticks","win_rate","expected_wr","wr_delta","expected_power","timeout_rate","own_weather_wr","counter_weather_wr","weather_sensitivity","wd_z"
"champ_aegis_tortoise","Aegis Tortoise","clear","tank","str-melee-tanky_arm-auto-leaden-utility","utility",5,1,"champion",2100,11670,4907,715,247,247,6956.8,0.4205,0.3902,0.0302,2.5198,0.1176,0.4203,NA,0.017,0.765157857987028
"champ_aegis_tortoise@2","Aegis Tortoise","clear","tank","str-melee-tanky_arm-auto-leaden-utility","utility",5,2,"champion",2124,12042,5005.5,723,213,213,7117.3,0.4157,0.3861,0.0295,5.0397,0.1003,0.4215,NA,0.0177,0.745766735648593
"champ_aegis_tortoise@3","Aegis Tortoise","clear","tank","str-melee-tanky_arm-auto-leaden-utility","utility",5,3,"champion",2070,11460,6436.5,976,458,458,8423.6,0.5616,0.5649,-0.0033,20.1587,0.2213,0.5723,NA,0.0401,-0.162845853923797
"champ_aerion","Aerion, the Skybreaker","thunder","spellblade","ranged-auto-brisk","hybrid",10,1,"champion",2388,13476,6979.5,1124,169,169,6461.8,0.5179,0.4929,0.025,8,0.0708,0.5679,0.5263,0.0766,0.193349144272362
"champ_aerion@2","Aerion, the Skybreaker","thunder","spellblade","ranged-auto-brisk","hybrid",10,2,"champion",2646,14586,7922,1407,159,159,6474,0.5431,0.5286,0.0145,16,0.0601,0.581,0.5276,0.0594,0.0136000627796103
"champ_aerion@3","Aerion, the Skybreaker","thunder","spellblade","ranged-auto-brisk","hybrid",10,3,"champion",2016,11112,8433.5,1535,94,94,6009.1,0.759,0.8472,-0.0882,64,0.0466,0.831,0.7397,0.1169,-1.74451714382093
"champ_aurion","Aurion, the First Dawn","clear","spellblade","ranged-steady","hybrid",10,1,"champion",2184,12228,5147.5,815,159,159,6703.8,0.421,0.4102,0.0108,8,0.0728,0.4257,NA,0.0287,-0.049740089746407
"champ_aurion@2","Aurion, the First Dawn","clear","spellblade","ranged-steady","hybrid",10,2,"champion",1974,11418,5731,922,201,201,7122.5,0.5019,0.5134,-0.0115,16,0.1018,0.5131,NA,0.0297,-0.431492900916728
"champ_aurion@3","Aurion, the First Dawn","clear","spellblade","ranged-steady","hybrid",10,3,"champion",2466,14058,10579.5,1783,265,265,7024.1,0.7526,0.9031,-0.1506,64,0.1075,0.7531,NA,0.0267,-2.81274025669214
"champ_borealis","Borealis, the Pale Aurora","snow","mage","ranged-ability-heavy-damage","damage",10,1,"champion",1884,10602,6497,1056,174,174,7109.2,0.6128,0.4986,0.1142,8,0.0924,0.6146,0.5917,0.0399,1.72036038895365
"champ_borealis@2","Borealis, the Pale Aurora","snow","mage","ranged-ability-heavy-damage","damage",10,2,"champion",2286,12408,7430.5,1324,174,174,6595.8,0.5988,0.5227,0.0761,16,0.0761,0.6202,0.5626,0.0575,1.06812800753709
"champ_borealis@3","Borealis, the Pale Aurora","snow","mage","ranged-ability-heavy-damage","damage",10,3,"champion",2412,13836,11526,2007,102,102,6415.9,0.833,0.8317,0.0013,64,0.0423,0.8469,0.7721,0.0861,-0.212370211096992
"champ_boulderhide_skink","Boulderhide Skink","cloudy","mage","str-ranged-squishy-ability-heavy-damage","damage",3,1,"champion",2268,12414,5593,928,119,119,6046.5,0.4505,0.419,0.0315,1.5874,0.0525,0.4517,0.448,0.0273,1.06353824324567
"champ_boulderhide_skink@2","Boulderhide Skink","cloudy","mage","str-ranged-squishy-ability-heavy-damage","damage",3,2,"champion",2154,11916,5211,832,160,160,6464.2,0.4373,0.4285,0.0088,3.1748,0.0743,0.4449,0.4242,0.034,0.169851163120145
"champ_boulderhide_skink@3","Boulderhide Skink","cloudy","mage","str-ranged-squishy-ability-heavy-damage","damage",3,3,"champion",2316,13374,7702.5,1306,113,113,6039.7,0.5759,0.537,0.0389,12.6992,0.0488,0.5861,0.5534,0.0328,1.35487235747162
"champ_cliffeyrie_eagle","Cliffeyrie Eagle","cloudy","spellslinger","ranged-speedy-damage","damage",9,1,"champion",2262,13098,5837,895,170,170,6479.3,0.4456,0.4517,-0.006,6.3496,0.0752,0.4565,0.4411,0.0181,-0.168876774493988
"champ_cliffeyrie_eagle@2","Cliffeyrie Eagle","cloudy","spellslinger","ranged-speedy-damage","damage",9,2,"champion",2424,13764,8167.5,1263,187,187,6519.1,0.5934,0.5702,0.0232,12.6992,0.0771,0.5915,0.5952,0.017,0.480622958007714
"champ_cliffeyrie_eagle@3","Cliffeyrie Eagle","cloudy","spellslinger","ranged-speedy-damage","damage",9,3,"champion",1722,9426,6780.5,1254,63,63,6088.3,0.7193,0.8167,-0.0973,50.7968,0.0366,0.7518,0.7056,0.0547,-2.19967559563801
"champ_coppercrest_stork","Coppercrest Stork","thunder","support","int-ranged-ability-speedy-utility","utility",4,1,"champion",2160,11646,4637.5,716,171,171,6643.4,0.3982,0.3733,0.0249,2,0.0792,0.3962,0.4001,0.0198,1.12156786228309
"champ_coppercrest_stork@2","Coppercrest Stork","thunder","support","int-ranged-ability-speedy-utility","utility",4,2,"champion",2154,11868,5289.5,751,204,204,6761.6,0.4457,0.4722,-0.0265,4,0.0947,0.4439,0.4431,0.0126,-0.402950901787389
"champ_coppercrest_stork@3","Coppercrest Stork","thunder","support","int-ranged-ability-speedy-utility","utility",4,3,"champion",2670,14310,6086.5,942,447,447,7628.7,0.4253,0.5065,-0.0812,16,0.1674,0.4296,0.4229,0.0109,-2.02534732969897
