"piece_id","name","affinity","role","role_code","intent","tier","level","kind","n_matches","n_pair_games","n_pair_wins","n_team_wins","n_team_draws","n_team_timeouts","mean_duration_ticks","win_rate","expected_wr","wr_delta","expected_power","timeout_rate","own_weather_wr","counter_weather_wr","weather_sensitivity","wd_z"
"enemy_steam_engineer@3","Steam Engineer","clear","mage","int-ranged-squishy-ability-steady-damage","damage",4,3,"enemy",2490,13818,5206,881,166,166,6633.8,0.3768,0.4907,-0.1139,16,0.0667,0.3682,NA,0.0158,-2.99522599866988
"enemy_drowned_siren@3","Drowned Siren","rain","mage","int-ranged-squishy-ability-damage","damage",4,3,"enemy",1944,10548,4849.5,823,129,129,6411.2,0.4598,0.5387,-0.0789,16,0.0664,0.4835,0.4562,0.0378,-1.95712956399154
"champ_goldcrest_lark@3","Goldcrest Lark","clear","mage","ranged-ability","hybrid",4,3,"champion",2214,12150,6398.5,1010,276,276,7016.9,0.5266,0.5714,-0.0447,16,0.1247,0.5373,NA,0.0398,-0.942761047820127
"enemy_archmagus_imperator@3","Archmagus Imperator","clear","mage","ranged-ability","hybrid",9,3,"enemy",2352,13350,9976,1819,70,70,5918.2,0.7473,0.7879,-0.0406,50.7968,0.0298,0.7539,NA,0.0209,-0.938489471225458
"champ_will_o_fawn@2","Will-o-Fawn","mist","mage","int-ranged-squishy-ability-damage","damage",2,2,"champion",2634,15048,5918.5,843,247,247,6700.7,0.3933,0.433,-0.0397,2.5198,0.0938,0.39,0.3943,0.0189,-1.88760857444381
"champ_torrent_heron@2","Torrent Heron","rain","mage","ranged-squishy-ability","hybrid",3,2,"champion",2700,15234,6159,935,287,287,6654.3,0.4043,0.4388,-0.0345,3.1748,0.1063,0.4078,0.4102,0.0199,-1.53484709985058
"enemy_steam_engineer@2","Steam Engineer","clear","mage","int-ranged-squishy-ability-steady-damage","damage",4,2,"enemy",2640,15000,6426.5,889,270,270,6708.4,0.4284,0.458,-0.0296,4,0.1023,0.4456,NA,0.0284,-0.494896586001757
"enemy_flood_tyrant@3","Flood Tyrant","rain","mage","ranged-ability-heavy","hybrid",10,3,"enemy",2802,14934,12566.5,2348,98,98,5894.6,0.8415,0.863,-0.0215,64,0.035,0.8712,0.811,0.0603,-0.602682502338397
"champ_permafrost_walrus","Permafrost Walrus","snow","mage","str-ranged-squishy-ability-leaden-damage","damage",3,1,"champion",2202,12786,4920,758,182,182,6887.6,0.3848,0.4022,-0.0174,1.5874,0.0827,0.3902,0.39,0.0115,-0.861629079139276
"champ_will_o_fawn@3","Will-o-Fawn","mist","mage","int-ranged-squishy-ability-damage","damage",2,3,"champion",2142,12096,5920.5,954,178,178,6444.2,0.4895,0.5064,-0.017,10.0794,0.0831,0.4821,0.496,0.0154,-0.713456730092117
"enemy_drowned_siren","Drowned Siren","rain","mage","int-ranged-squishy-ability-damage","damage",4,1,"enemy",2460,13986,5535,853,135,135,6339,0.3958,0.4101,-0.0144,2,0.0549,0.3934,0.387,0.0204,-0.0440661343700195
"enemy_archmagus_imperator@2","Archmagus Imperator","clear","mage","ranged-ability","hybrid",9,2,"enemy",2334,12948,5963.5,1071,140,140,6436.2,0.4606,0.4745,-0.0139,12.6992,0.06,0.4458,NA,0.0368,-0.344597592533833
"enemy_avalanche_engine@2","Avalanche Engine","snow","mage","str-ranged-squishy-ability-heavy-damage","damage",5,2,"enemy",1746,9408,3850.5,682,139,139,6526.8,0.4093,0.4209,-0.0116,5.0397,0.0796,0.4203,0.405,0.0233,-0.392769161650957
"enemy_steam_engineer","Steam Engineer","clear","mage","int-ranged-squishy-ability-steady-damage","damage",4,1,"enemy",3114,17226,6307.5,882,278,278,6469.3,0.3662,0.3737,-0.0076,2,0.0893,0.3694,NA,0.0221,0.157621172938916
"enemy_avalanche_engine","Avalanche Engine","snow","mage","str-ranged-squishy-ability-heavy-damage","damage",5,1,"enemy",2070,11502,4492.5,711,158,158,6355.4,0.3906,0.3975,-0.0069,2.5198,0.0763,0.4077,0.3965,0.0274,-0.262571625950035
"enemy_drowned_siren@2","Drowned Siren","rain","mage","int-ranged-squishy-ability-damage","damage",4,2,"enemy",3348,18468,6847,1122,232,232,6515.9,0.3707,0.3772,-0.0064,4,0.0693,0.3691,0.3793,0.0211,0.193213050699316
"champ_torrent_heron@3","Torrent Heron","rain","mage","ranged-squishy-ability","hybrid",3,3,"champion",2598,14376,6269,1115,138,138,6166,0.4361,0.4416,-0.0055,12.6992,0.0531,0.453,0.4416,0.0355,-0.393132327884043
"champ_ember_salamander@2","Ember Salamander","clear","mage","str-ranged-squishy-ability-steady","hybrid",3,2,"champion",2250,12456,5122.5,862,182,182,6744.6,0.4112,0.4162,-0.0049,3.1748,0.0809,0.4027,NA,0.0434,-0.369510642946805
"champ_permafrost_walrus@3","Permafrost Walrus","snow","mage","str-ranged-squishy-ability-leaden-damage","damage",3,3,"champion",2238,12618,6973,1190,121,121,6127.5,0.5526,0.5549,-0.0023,12.6992,0.0541,0.5495,0.535,0.0328,-0.26715000821877
"champ_borealis@3","Borealis, the Pale Aurora","snow","mage","ranged-ability-heavy-damage","damage",10,3,"champion",2412,13836,11526,2007,102,102,6415.9,0.833,0.8317,0.0013,64,0.0423,0.8469,0.7721,0.0861,-0.212370211096992
"champ_ember_salamander","Ember Salamander","clear","mage","str-ranged-squishy-ability-steady","hybrid",3,1,"champion",2166,12300,4804.5,711,175,175,6462.8,0.3906,0.3868,0.0038,1.5874,0.0808,0.3876,NA,0.0198,-0.0269962113568442
"champ_boulderhide_skink@2","Boulderhide Skink","cloudy","mage","str-ranged-squishy-ability-heavy-damage","damage",3,2,"champion",2154,11916,5211,832,160,160,6464.2,0.4373,0.4285,0.0088,3.1748,0.0743,0.4449,0.4242,0.034,0.169851163120145
"champ_torrent_heron","Torrent Heron","rain","mage","ranged-squishy-ability","hybrid",3,1,"champion",3006,16902,6294,938,211,211,6365.3,0.3724,0.361,0.0114,1.5874,0.0702,0.3726,0.3841,0.019,0.272211797848179
"champ_will_o_fawn","Will-o-Fawn","mist","mage","int-ranged-squishy-ability-damage","damage",2,1,"champion",2040,11400,4819.5,725,169,169,6664.8,0.4228,0.4095,0.0133,1.2599,0.0828,0.4416,0.4174,0.0316,0.85380322073856
"champ_goldcrest_lark","Goldcrest Lark","clear","mage","ranged-ability","hybrid",4,1,"champion",2526,13776,5623,852,273,273,6652.7,0.4082,0.3876,0.0205,2,0.1081,0.4183,NA,0.0163,0.991064310494956
"enemy_avalanche_engine@3","Avalanche Engine","snow","mage","str-ranged-squishy-ability-heavy-damage","damage",5,3,"enemy",2844,15840,8924.5,1635,84,84,5891.9,0.5634,0.5413,0.0221,20.1587,0.0295,0.5733,0.535,0.0434,0.540774870927993
"champ_nerei@3","Nerei, the Floodmother","rain","mage","int-ranged-ability-damage","damage",10,3,"champion",2472,13380,11632.5,2157,53,53,5579.7,0.8694,0.8466,0.0228,64,0.0214,0.904,0.8464,0.0735,0.155687431959595
"enemy_flood_tyrant","Flood Tyrant","rain","mage","ranged-ability-heavy","hybrid",10,1,"enemy",2688,14892,7818.5,1295,199,199,6652.7,0.525,0.4976,0.0274,8,0.074,0.5409,0.5133,0.0437,0.234434648613563
"champ_boulderhide_skink","Boulderhide Skink","cloudy","mage","str-ranged-squishy-ability-heavy-damage","damage",3,1,"champion",2268,12414,5593,928,119,119,6046.5,0.4505,0.419,0.0315,1.5874,0.0525,0.4517,0.448,0.0273,1.06353824324567
"champ_permafrost_walrus@2","Permafrost Walrus","snow","mage","str-ranged-squishy-ability-leaden-damage","damage",3,2,"champion",2328,13920,6014,867,250,250,6940.7,0.432,0.397,0.0351,3.1748,0.1074,0.4511,0.3996,0.0515,1.20526835286911
"champ_goldcrest_lark@2","Goldcrest Lark","clear","mage","ranged-ability","hybrid",4,2,"champion",2532,14256,6042,910,205,205,6395.5,0.4238,0.3857,0.0381,4,0.081,0.4272,NA,0.0156,1.51307851764749
"champ_boulderhide_skink@3","Boulderhide Skink","cloudy","mage","str-ranged-squishy-ability-heavy-damage","damage",3,3,"champion",2316,13374,7702.5,1306,113,113,6039.7,0.5759,0.537,0.0389,12.6992,0.0488,0.5861,0.5534,0.0328,1.35487235747162
"enemy_arcanist@3","Arcanist","clear","mage","int-ranged-squishy-ability-steady-damage","damage",9,3,"enemy",1956,11388,9244.5,1608,22,22,4855.8,0.8118,0.7692,0.0425,50.7968,0.0112,0.813,NA,0.0227,0.909915589421511
"enemy_archmagus_imperator","Archmagus Imperator","clear","mage","ranged-ability","hybrid",9,1,"enemy",2466,13872,6801.5,1124,188,188,6583,0.4903,0.4464,0.0439,6.3496,0.0762,0.4978,NA,0.0404,0.941055987555154
"enemy_flood_tyrant@2","Flood Tyrant","rain","mage","ranged-ability-heavy","hybrid",10,2,"enemy",2250,12828,7355,1223,265,265,7035,0.5734,0.5262,0.0472,16,0.1178,0.6022,0.5706,0.0468,0.573390059428467
"champ_mournhollow@3","Mournhollow, the Pale Stag","mist","mage","str-ranged-ability-damage","damage",10,3,"champion",2394,13374,11947,2140,71,71,5458.3,0.8933,0.8457,0.0476,64,0.0297,0.9002,0.8674,0.0552,0.580237643485334
"champ_nerei","Nerei, the Floodmother","rain","mage","int-ranged-ability-damage","damage",10,1,"champion",2442,14058,6394,1066,158,158,6496.5,0.4548,0.4016,0.0532,8,0.0647,0.4765,0.4351,0.0463,0.676103820281468
"enemy_arcanist","Arcanist","clear","mage","int-ranged-squishy-ability-steady-damage","damage",9,1,"enemy",2268,12720,5634,963,114,114,6278.9,0.4429,0.3807,0.0623,6.3496,0.0503,0.4564,NA,0.0436,1.35032979159732
"champ_borealis@2","Borealis, the Pale Aurora","snow","mage","ranged-ability-heavy-damage","damage",10,2,"champion",2286,12408,7430.5,1324,174,174,6595.8,0.5988,0.5227,0.0761,16,0.0761,0.6202,0.5626,0.0575,1.06812800753709
"champ_ember_salamander@3","Ember Salamander","clear","mage","str-ranged-squishy-ability-steady","hybrid",3,3,"champion",2034,11316,6781.5,1190,92,92,5894.8,0.5993,0.5217,0.0775,12.6992,0.0452,0.6132,NA,0.0374,2.87453408843397
"champ_mournhollow","Mournhollow, the Pale Stag","mist","mage","str-ranged-ability-damage","damage",10,1,"champion",2484,13830,7416,1235,229,229,6842,0.5362,0.4495,0.0868,8,0.0922,0.5471,0.5171,0.061,1.25130088105827
"champ_nerei@2","Nerei, the Floodmother","rain","mage","int-ranged-ability-damage","damage",10,2,"champion",1560,8538,5351.5,956,111,111,6282.8,0.6268,0.539,0.0878,16,0.0712,0.6729,0.6195,0.0945,1.26841984120044
"enemy_arcanist@2","Arcanist","clear","mage","int-ranged-squishy-ability-steady-damage","damage",9,2,"enemy",2214,12018,7696,1411,82,82,5875.5,0.6404,0.5497,0.0907,12.6992,0.037,0.64,NA,0.0272,1.9820350108798
"champ_mournhollow@2","Mournhollow, the Pale Stag","mist","mage","str-ranged-ability-damage","damage",10,2,"champion",2256,12438,8061,1456,131,131,6347.6,0.6481,0.5475,0.1006,16,0.0581,0.6602,0.6264,0.0451,1.48754253102018
"champ_borealis","Borealis, the Pale Aurora","snow","mage","ranged-ability-heavy-damage","damage",10,1,"champion",1884,10602,6497,1056,174,174,7109.2,0.6128,0.4986,0.1142,8,0.0924,0.6146,0.5917,0.0399,1.72036038895365
