"name","tier","level","role","wr_delta","win_rate","n_lists","lists","dir"
"Springfrog",1,3,"support",0.1402,0.642,5,"WP+DP+DR+DT+AB","OVER"
"Hierarch",8,3,"support",-0.1283,0.618,4,"DR+DT+AB+SP","UNDER"
"Steam Engineer",4,3,"mage",-0.1139,0.377,4,"WP+DR+DT+AB","UNDER"
"Mirewarden Toad",7,3,"tank",-0.1051,0.565,4,"WP+DR+DT+AB","UNDER"
"Aurion, the First Dawn",10,3,"spellblade",-0.1506,0.753,3,"DR+DT+AB","UNDER"
"Maw of the Drowned",9,3,"tank",-0.1312,0.642,3,"DR+DT+AB","UNDER"
"Stone Warden",10,3,"tank",-0.1236,0.728,3,"DR+DT+AB","UNDER"
"Springfrog",1,2,"support",0.1023,0.481,3,"DP+DR+AB","OVER"
"Borealis, the Pale Aurora",10,1,"mage",0.1142,0.613,3,"WP+DP+AB","OVER"
"Dredge-Hulk",7,3,"bruiser",-0.0977,0.611,2,"DR+DT","UNDER"
"Cliffeyrie Eagle",9,3,"spellslinger",-0.0973,0.719,2,"DT+SP","UNDER"
"Marshghast Boar",7,3,"bruiser",-0.0931,0.571,2,"WP+DR","UNDER"
"Coral Colossus",5,2,"tank",0.0505,0.402,2,"DP+SP","OVER"
"Glade Heron",8,3,"marksman",0.0556,0.833,2,"WP+SP","OVER"
"Hierarch",8,1,"support",0.0595,0.444,2,"DP+SP","OVER"
"Veilfang Wolf",8,2,"swashbuckler",0.0642,0.525,2,"DP+SP","OVER"
"Ember Salamander",3,3,"mage",0.0775,0.599,2,"DP+DT","OVER"
"Mournhollow, the Pale Stag",10,2,"mage",0.1006,0.648,2,"AB+SP","OVER"
