"piece_id","name","role","tier","affinity","win_rate","wr_delta","timeout_rate"
"champ_will_o_fawn","Will-o-Fawn","mage",2,"mist",0.16841875,-0.06915625,0.09918125
"enemy_steam_engineer","Steam Engineer","mage",4,"clear",0.190475,-0.17195625,0.1159125
"enemy_signal_drummer","Signal Drummer","mage",1,"clear",0.1906375,0.0090375,0.1166375
"champ_dusk_bat","Dusk Bat","mage",2,"cloudy",0.20024375,-0.03893125,0.14234375
"enemy_drowned_siren","Drowned Siren","mage",4,"rain",0.20621875,-0.15995625,0.1106
"champ_sparkfly","Sparkfly","mage",1,"thunder",0.21340625,0.0190875,0.1149875
"champ_coppercrest_stork","Coppercrest Stork","mage",4,"thunder",0.21683125,-0.15519375,0.1637
"enemy_standard_bearer","Standard Bearer","mage",3,"clear",0.21885625,-0.0767375,0.134475
"enemy_stretcher_hand","Stretcher-Hand","mage",1,"clear",0.21941875,0.03194375,0.18546875
"champ_goldcrest_lark","Goldcrest Lark","mage",4,"clear",0.22054375,-0.1429375,0.147475
"champ_geode_beetle","Geode Beetle","mage",4,"cloudy",0.22496875,-0.13895,0.17256875
"champ_wintermoth","Wintermoth","mage",2,"snow",0.2258625,-0.01190625,0.18701875
"enemy_company_captain","Company Captain","mage",5,"clear",0.2283625,-0.20923125,0.171775
"champ_dawnwisp","Dawnwisp","mage",1,"clear",0.25224375,0.0633,0.2274625
"champ_marsh_thrush","Marsh Thrush","mage",6,"rain",0.2558875,-0.26370625,0.1899375
"enemy_pikeman","Pikeman","warrior",2,"clear",0.264075,0.0268,0.11529375
"enemy_picket","Picket","marksman",1,"clear",0.26891875,0.07355,0.06621875
"enemy_field_chaplain","Field Chaplain","mage",3,"clear",0.274775,-0.022675,0.23495
"enemy_field_medic","Field Medic","mage",2,"clear",0.27521875,0.0313125,0.25495
"champ_pebbleback_pangolin","Pebbleback Pangolin","warrior",1,"cloudy",0.27686875,0.09006875,0.18984375
"enemy_conscript","Conscript","warrior",1,"clear",0.28129375,0.09106875,0.06103125
"enemy_hollowed_wisp","Hollowed Wisp","assassin",3,"mist",0.28543125,-0.00845,0.0638
"champ_hoarfrost_owl","Hoarfrost Owl","mage",4,"snow",0.29355625,-0.071475,0.2699375
"enemy_caged_banshee","Caged Banshee","mage",5,"mist",0.2956375,-0.1413625,0.1400125
"enemy_powder_sapper","Powder Sapper","marksman",2,"clear",0.310725,0.074275,0.04943125
"enemy_hierarch","Hierarch","mage",8,"clear",0.31136875,-0.3789125,0.25178125
"champ_voltscale_mamba","Voltscale Mamba","warrior",3,"thunder",0.3157375,0.01985,0.0454875
"enemy_stormhawk","Stormhawk","mage",4,"thunder",0.32185625,-0.04363125,0.10134375
"champ_phantom_lynx","Phantom Lynx","assassin",3,"mist",0.3239125,0.03089375,0.06034375
"enemy_drained_stalker","Drained Stalker","mage",4,"mist",0.3245875,-0.03441875,0.09919375
"enemy_crossbow_levy","Crossbow Levy","marksman",2,"clear",0.3255125,0.085675,0.057825
"champ_veldt_pronghorn","Veldt Pronghorn","warrior",2,"clear",0.32986875,0.08989375,0.05658125
"champ_thunderhoof_colt","Thunderhoof Colt","warrior",2,"thunder",0.3322125,0.0942375,0.0532125
"champ_fogveil_moth","Fogveil Moth","mage",5,"mist",0.34143125,-0.09578125,0.1331375
"enemy_company_guard","Company Guard","bruiser",4,"clear",0.34389375,-0.0236875,0.25219375
"champ_reedbank_otter","Reedbank Otter","warrior",2,"rain",0.3447,0.1024875,0.05365625
"enemy_levyman","Levyman","warrior",1,"clear",0.34834375,0.156525,0.2056375
"enemy_sergeant_at_arms","Sergeant-at-Arms","bruiser",3,"clear",0.34946875,0.0533,0.2100625
"champ_snowpelt_cub","Snowpelt Cub","warrior",1,"snow",0.35523125,0.16739375,0.231
"champ_lostlight_wisp","Lostlight Wisp","mage",1,"mist",0.36189375,0.17469375,0.3653625
"enemy_voltaic_diviner","Voltaic Diviner","mage",5,"thunder",0.3687,-0.06873125,0.0540125
"enemy_quarry_crawler","Quarry Crawler","warrior",3,"cloudy",0.3698,0.06979375,0.06353125
"enemy_iron_collared_hound","Iron-Collared Hound","warrior",3,"snow",0.37075,0.077475,0.0700375
"enemy_shaftmaw","Shaftmaw","assassin",5,"cloudy",0.37105,-0.07136875,0.06384375
"enemy_slag_sentinel","Slag Sentinel","warrior",4,"cloudy",0.386725,0.02565625,0.1526
"champ_torrent_heron","Torrent Heron","marksman",3,"rain",0.389525,0.0935375,0.03715
"enemy_capture_rig_wolf","Capture-Rig Wolf","warrior",3,"thunder",0.39259375,0.0875625,0.0606625
"champ_aegis_tortoise","Aegis Tortoise","warrior",5,"clear",0.3975625,-0.04295,0.21320625
"enemy_battlemage","Battlemage","mage",5,"clear",0.39856875,-0.0422875,0.04811875
"champ_springfrog","Springfrog","mage",1,"rain",0.40521875,0.21261875,0.4235875
"champ_permafrost_walrus","Permafrost Walrus","marksman",3,"snow",0.4122375,0.116,0.03784375
"champ_boulderhide_skink","Boulderhide Skink","marksman",3,"cloudy",0.41489375,0.12473125,0.03276875
"champ_hollow_elk","Hollow Elk","assassin",4,"mist",0.416725,0.05213125,0.22335
"champ_frostplate_tortoise","Frostplate Tortoise","warrior",5,"snow",0.44305625,-0.000175,0.15306875
"champ_grovekeeper_tapir","Grovekeeper Tapir","bruiser",4,"rain",0.4635375,0.10228125,0.32750625
"enemy_inquisitor","Inquisitor","hybrid",6,"clear",0.463975,-0.05254375,0.0740875
"champ_thunderhide_bison","Thunderhide Bison","warrior",5,"thunder",0.466,0.02039375,0.13151875
"enemy_blight_lurker","Blight Lurker","warrior",3,"rain",0.46818125,0.171575,0.229775
"champ_duskstep_marten","Duskstep Marten","assassin",5,"cloudy",0.472275,0.03349375,0.094775
"champ_tempest_eel","Tempest Eel","mage",6,"thunder",0.47694375,-0.03890625,0.04031875
"enemy_heavy_knight","Heavy Knight","warrior",4,"clear",0.48285625,0.11799375,0.19359375
"champ_mirewarden_toad","Mirewarden Toad","assassin",7,"rain",0.49324375,-0.10395625,0.31709375
"champ_granite_gorilla","Granite Gorilla","assassin",6,"cloudy",0.49471875,-0.01855625,0.2702875
"enemy_avalanche_engine","Avalanche Engine","marksman",5,"snow",0.498725,0.061425,0.02869375
"enemy_gunslinger","Gunslinger","marksman",5,"clear",0.50125625,0.06074375,0.04699375
"champ_ember_salamander","Ember Salamander","mage",3,"clear",0.5055125,0.2071375,0.0235625
"enemy_cold_iron_yeti","Cold-Iron Yeti","warrior",4,"snow",0.50940625,0.14774375,0.19458125
"enemy_hexblade_officer","Hexblade Officer","assassin",6,"clear",0.51154375,-0.0065875,0.10155
"enemy_brineblight_berserker","Brineblight Berserker","warrior",5,"rain",0.51853125,0.08101875,0.0512375
"enemy_shroud_killer","Shroud-Killer","warrior",7,"mist",0.52821875,-0.07683125,0.038775
"enemy_reaver_of_the_reach","Reaver of the Reach","hybrid",7,"cloudy",0.52983125,-0.07153125,0.08373125
"champ_voltmane_jackal","Voltmane Jackal","hybrid",7,"thunder",0.53668125,-0.05961875,0.07926875
"champ_glade_heron","Glade Heron","mage",8,"rain",0.564925,-0.128125,0.11495625
"champ_iceclaw_lynx","Iceclaw Lynx","assassin",6,"snow",0.565175,0.04746875,0.07755
"enemy_dredge_hulk","Dredge-Hulk","bruiser",7,"rain",0.57703125,-0.0288875,0.25735625
"champ_marshghast_boar","Marshghast Boar","bruiser",7,"mist",0.584775,-0.0143875,0.3140625
"champ_wraithorn_stag","Wraithorn Stag","warrior",6,"mist",0.58943125,0.072025,0.05538125
"champ_coral_colossus","Coral Colossus","warrior",5,"rain",0.591075,0.14948125,0.47441875
"enemy_steam_knight","Steam Knight","warrior",6,"clear",0.59953125,0.08339375,0.05680625
"champ_eclipse_jaguar","Eclipse Jaguar","hybrid",7,"cloudy",0.60025625,-0.000325,0.0589375
"champ_mirage_caracal","Mirage Caracal","assassin",8,"clear",0.6013625,-0.0823125,0.04788125
"champ_goldhide_rhino","Goldhide Rhino","bruiser",7,"clear",0.616775,0.01936875,0.4178125
"champ_storm_eagle","Storm Eagle","mage",9,"thunder",0.62353125,-0.157675,0.1201625
"champ_sunmane_lion","Sunmane Lion","warrior",6,"clear",0.62964375,0.11025,0.0504125
"enemy_spymaster","Spymaster","assassin",8,"clear",0.63404375,-0.05465625,0.04865
"enemy_glacier_goliath","Glacier Goliath","warrior",7,"snow",0.6348625,0.0350875,0.3344625
"enemy_caged_storm_drake","Caged Storm-Drake","hybrid",9,"thunder",0.63908125,-0.14866875,0.0798625
"enemy_iron_maiden","Iron Maiden","bruiser",7,"clear",0.63981875,0.03308125,0.1997375
"enemy_riflemaster","Riflemaster","marksman",6,"clear",0.6441,0.12530625,0.04244375
"champ_nightglass_mantis","Nightglass Mantis","assassin",8,"cloudy",0.66585625,-0.0207125,0.04095625
"enemy_arcanist","Arcanist","mage",9,"clear",0.67305,-0.11143125,0.0285
"champ_frostfang_wolverine","Frostfang Wolverine","warrior",8,"snow",0.6735625,-0.0190625,0.01613125
"enemy_maw_of_the_drowned","Maw of the Drowned","hybrid",9,"rain",0.682375,-0.1036125,0.07789375
