"piece_id","name","affinity","role","tier","kind","win_rate","wr_delta","beta_deviation_pct","timeout_rate","mean_duration_ticks"
"champ_will_o_fawn","Will-o-Fawn","mist","mage",2,"champion",0.176211111111111,-0.217961111111111,-20.63,0.107255555555556,6782.51666666667
"enemy_steam_engineer","Steam Engineer","clear","mage",4,"enemy",0.197627777777778,-0.246627777777778,-34.98,0.109961111111111,7124.88333333333
"enemy_signal_drummer","Signal Drummer","clear","mage",1,"enemy",0.2051,-0.161694444444444,36.93,0.115466666666667,7057.45
"champ_dusk_bat","Dusk Bat","cloudy","mage",2,"champion",0.215988888888889,-0.179283333333333,24.565,0.1355,7404.50555555556
"champ_coppercrest_stork","Coppercrest Stork","thunder","mage",4,"champion",0.219233333333333,-0.227861111111111,-9.98944444444444,0.159966666666667,7801.39444444444
"enemy_drowned_siren","Drowned Siren","rain","mage",4,"enemy",0.219727777777778,-0.22955,-21.8244444444444,0.102788888888889,7006.12777777778
"champ_wintermoth","Wintermoth","snow","mage",2,"champion",0.229733333333333,-0.162022222222222,76.6127777777778,0.185755555555556,7725.53333333333
"enemy_stretcher_hand","Stretcher-Hand","clear","mage",1,"enemy",0.23305,-0.139872222222222,123.810555555556,0.180416666666667,7584.28333333333
"champ_sparkfly","Sparkfly","thunder","mage",1,"champion",0.233444444444444,-0.142816666666667,76.22,0.116927777777778,7224.35
"champ_goldcrest_lark","Goldcrest Lark","clear","mage",4,"champion",0.238238888888889,-0.208877777777778,-8.21555555555556,0.148227777777778,7694.79444444444
"enemy_standard_bearer","Standard Bearer","clear","mage",3,"enemy",0.238805555555556,-0.182377777777778,8.25055555555556,0.129811111111111,7402.16666666667
"enemy_company_captain","Company Captain","clear","mage",5,"enemy",0.242077777777778,-0.234188888888889,-16.615,0.169794444444444,7976.46111111111
"champ_geode_beetle","Geode Beetle","cloudy","mage",4,"champion",0.246866666666667,-0.202372222222222,4.98722222222222,0.168905555555556,8062.17777777778
"champ_marsh_thrush","Marsh Thrush","rain","mage",6,"champion",0.263127777777778,-0.246383333333333,-11.8794444444444,0.179961111111111,8160.15
"champ_dawnwisp","Dawnwisp","clear","mage",1,"champion",0.267138888888889,-0.104888888888889,231.746666666667,0.215511111111111,7774.5
"enemy_picket","Picket","clear","marksman",1,"enemy",0.276377777777778,-0.0968555555555556,205.79,0.0657777777777778,6816.76666666667
"enemy_pikeman","Pikeman","clear","warrior",2,"enemy",0.283055555555556,-0.11055,136.101666666667,0.117366666666667,7750.35555555556
"enemy_conscript","Conscript","clear","warrior",1,"enemy",0.283661111111111,-0.0854833333333333,384.930555555556,0.0652444444444444,6927.88333333333
"enemy_field_chaplain","Field Chaplain","clear","mage",3,"enemy",0.285005555555556,-0.138238888888889,109.065,0.223494444444444,8116.5
"champ_pebbleback_pangolin","Pebbleback Pangolin","cloudy","warrior",1,"champion",0.285433333333333,-0.08375,277.094444444444,0.187633333333333,8379.77777777778
"enemy_hollowed_wisp","Hollowed Wisp","mist","assassin",3,"enemy",0.292427777777778,-0.126383333333333,250.252222222222,0.06965,6628.81111111111
"enemy_field_medic","Field Medic","clear","mage",2,"enemy",0.296355555555556,-0.103027777777778,226.067777777778,0.22905,8053.12222222222
"enemy_caged_banshee","Caged Banshee","mist","mage",5,"enemy",0.301472222222222,-0.172433333333333,47.9833333333333,0.138433333333333,7955.34444444444
"champ_hoarfrost_owl","Hoarfrost Owl","snow","mage",4,"champion",0.303483333333333,-0.145427777777778,118.942777777778,0.261605555555556,8516.32222222222
"enemy_powder_sapper","Powder Sapper","clear","marksman",2,"enemy",0.311433333333333,-0.0788388888888889,321.902222222222,0.0556444444444444,6286.67222222222
"enemy_stormhawk","Stormhawk","thunder","mage",4,"enemy",0.319066666666667,-0.124033333333333,177.85,0.101705555555556,7371.46666666667
"enemy_drained_stalker","Drained Stalker","mist","mage",4,"enemy",0.31965,-0.124072222222222,200.956111111111,0.103255555555556,7372.46666666667
"champ_voltscale_mamba","Voltscale Mamba","thunder","warrior",3,"champion",0.323877777777778,-0.0983222222222222,453.401111111111,0.0620888888888889,6437.92222222222
