"role","stage","win_rate","wr_delta"
"mage","1v1",0.256444444444444,-0.172967171717172
"warrior","1v1",0.512563020833333,0.0607385416666667
"assassin","1v1",0.543526923076923,0.0209230769230769
"marksman","1v1",0.545087179487179,0.0698320512820513
"bruiser","1v1",0.624515,0.07319
"hybrid","1v1",0.775684210526316,0.0975166666666667
"mage","2v2",0.351744444444444,-0.110777272727273
"assassin","2v2",0.480862820512821,-0.0231205128205128
"warrior","2v2",0.491959895833333,0.017884375
"marksman","2v2",0.553460256410256,0.0655705128205128
"bruiser","2v2",0.61183,0.0883416666666667
"hybrid","2v2",0.695083333333333,0.0911701754385965
"mage","3v3",0.393841414141414,-0.0823752525252525
"assassin","3v3",0.476630769230769,-0.0229371794871795
"warrior","3v3",0.479946875,-0.00245677083333333
"marksman","3v3",0.548175641025641,0.0571602564102564
"bruiser","3v3",0.594531666666667,0.0796883333333333
"hybrid","3v3",0.656428947368421,0.0856491228070175
