"piece_id","name","affinity","role","tier","stage","wr_range"
"champ_aerion","Aerion, the Skybreaker","thunder","hybrid",10,"2v2",0.0895
"champ_voltmane_jackal","Voltmane Jackal","thunder","hybrid",7,"1v1",0.0882999999999999
"champ_wraithorn_stag","Wraithorn Stag","mist","warrior",6,"1v1",0.0882000000000001
"enemy_thunder_bull","Thunder Bull","thunder","warrior",7,"1v1",0.0882000000000001
"champ_voltscale_mamba","Voltscale Mamba","thunder","warrior",3,"1v1",0.084
"champ_aerion","Aerion, the Skybreaker","thunder","hybrid",10,"1v1",0.0798
"enemy_shroud_killer","Shroud-Killer","mist","warrior",7,"1v1",0.0757000000000001
"enemy_caged_storm_drake","Caged Storm-Drake","thunder","hybrid",9,"2v2",0.0756
"enemy_caged_storm_drake","Caged Storm-Drake","thunder","hybrid",9,"3v3",0.0740999999999999
"champ_borealis","Borealis, the Pale Aurora","snow","hybrid",10,"2v2",0.0717
"champ_duskstep_marten","Duskstep Marten","cloudy","assassin",5,"1v1",0.0714
"champ_aerion","Aerion, the Skybreaker","thunder","hybrid",10,"3v3",0.0709
"enemy_frost_sovereign","Frost Sovereign","snow","hybrid",10,"1v1",0.0673
"champ_boulderhide_skink","Boulderhide Skink","cloudy","marksman",3,"1v1",0.0673
"enemy_avalanche_engine","Avalanche Engine","snow","marksman",5,"1v1",0.0671999999999999
"enemy_maw_of_the_drowned","Maw of the Drowned","rain","hybrid",9,"1v1",0.0671999999999999
"champ_borealis","Borealis, the Pale Aurora","snow","hybrid",10,"3v3",0.0665
"enemy_storm_tyrant","Storm Tyrant","thunder","hybrid",10,"3v3",0.0664
"champ_iceclaw_lynx","Iceclaw Lynx","snow","assassin",6,"2v2",0.0656
"champ_voltmane_jackal","Voltmane Jackal","thunder","hybrid",7,"2v2",0.0643
"enemy_riven_frost_wyrm","Riven Frost-Wyrm","snow","hybrid",9,"3v3",0.0638
"champ_eclipse_jaguar","Eclipse Jaguar","cloudy","hybrid",7,"1v1",0.0631
"enemy_slag_sentinel","Slag Sentinel","cloudy","warrior",4,"1v1",0.0631
"enemy_caged_storm_drake","Caged Storm-Drake","thunder","hybrid",9,"1v1",0.0630000000000001
"champ_thunderhide_bison","Thunderhide Bison","thunder","warrior",5,"1v1",0.0629999999999999
"enemy_storm_tyrant","Storm Tyrant","thunder","hybrid",10,"2v2",0.0629999999999999
"enemy_riven_frost_wyrm","Riven Frost-Wyrm","snow","hybrid",9,"2v2",0.0621
"enemy_veil_lord","Veil Lord","mist","hybrid",10,"2v2",0.0603999999999999
"champ_iceclaw_lynx","Iceclaw Lynx","snow","assassin",6,"1v1",0.0589000000000001
"enemy_quarry_crawler","Quarry Crawler","cloudy","warrior",3,"1v1",0.0589
"enemy_riven_frost_wyrm","Riven Frost-Wyrm","snow","hybrid",9,"1v1",0.0588
"champ_umbra","Umbra, the Mountain's Shadow","cloudy","hybrid",10,"1v1",0.0588
"enemy_thunder_bull","Thunder Bull","thunder","warrior",7,"3v3",0.0585
"enemy_frost_sovereign","Frost Sovereign","snow","hybrid",10,"2v2",0.0562
"champ_hollow_elk","Hollow Elk","mist","assassin",4,"2v2",0.0561
"champ_cliffeyrie_eagle","Cliffeyrie Eagle","cloudy","marksman",9,"3v3",0.0556
"champ_voltmane_jackal","Voltmane Jackal","thunder","hybrid",7,"3v3",0.0549
"enemy_sundered_lord","Sundered Lord","mist","hybrid",9,"2v2",0.0547000000000001
"champ_granite_gorilla","Granite Gorilla","cloudy","assassin",6,"1v1",0.0546
"champ_cliffeyrie_eagle","Cliffeyrie Eagle","cloudy","marksman",9,"1v1",0.0546
"champ_cliffeyrie_eagle","Cliffeyrie Eagle","cloudy","marksman",9,"2v2",0.0538
"enemy_voltaic_diviner","Voltaic Diviner","thunder","mage",5,"3v3",0.0517
"champ_spectral_heron","Spectral Heron","mist","mage",9,"2v2",0.0511999999999999
"enemy_stone_warden","Stone Warden","cloudy","bruiser",10,"1v1",0.0505000000000001
"champ_torrent_heron","Torrent Heron","rain","marksman",3,"1v1",0.0505
"enemy_capture_rig_wolf","Capture-Rig Wolf","thunder","warrior",3,"1v1",0.0505
"champ_riptide_caiman","Riptide Caiman","rain","warrior",9,"1v1",0.0505
"enemy_cold_iron_yeti","Cold-Iron Yeti","snow","warrior",4,"1v1",0.0504000000000001
"champ_frostplate_tortoise","Frostplate Tortoise","snow","warrior",5,"1v1",0.0504
"champ_veilfang_wolf","Veilfang Wolf","mist","assassin",8,"1v1",0.0504
"champ_mournhollow","Mournhollow, the Pale Stag","mist","hybrid",10,"1v1",0.0504
"champ_borealis","Borealis, the Pale Aurora","snow","hybrid",10,"1v1",0.0504
"enemy_storm_tyrant","Storm Tyrant","thunder","hybrid",10,"1v1",0.0504
"champ_granite_gorilla","Granite Gorilla","cloudy","assassin",6,"2v2",0.0467
