"bin","stage","winA.p","winA.n"
"(0.1,0.15]","1v1",0.0266497461928934,1182
"(0.15,0.2]","1v1",0.0514069264069264,2772
"(0.2,0.25]","1v1",0.0570549242424242,2112
"(0.25,0.3]","1v1",0.0702068416865553,2514
"(0.3,0.35]","1v1",0.186752988047809,3012
"(0.35,0.4]","1v1",0.275694444444444,3600
"(0.4,0.45]","1v1",0.371614583333333,3840
"(0.45,0.5]","1v1",0.541666666666667,4056
"(0.55,0.6]","1v1",0.673212487411883,3972
"(0.6,0.65]","1v1",0.78223949337939,3474
"(0.65,0.7]","1v1",0.820342205323194,3156
"(0.7,0.75]","1v1",0.90936329588015,2670
"(0.75,0.8]","1v1",0.96163428001993,4014
"(0.8,0.85]","1v1",0.985133020344288,1278
"(0.85,0.9]","1v1",0.993265993265993,1188
"(0.1,0.15]","2v2",0.0111111111111111,270
"(0.15,0.2]","2v2",0.00819672131147541,2196
"(0.2,0.25]","2v2",0.0209507703870725,5322
"(0.25,0.3]","2v2",0.0403905903240124,9012
"(0.3,0.35]","2v2",0.0717149626389648,10974
"(0.35,0.4]","2v2",0.165778630292697,14076
"(0.4,0.45]","2v2",0.263365360926337,16236
"(0.45,0.5]","2v2",0.444490176709472,18222
"(0.5,0.55]","2v2",0.615944734876774,16068
"(0.55,0.6]","2v2",0.748189635664177,17676
"(0.6,0.65]","2v2",0.877003531649008,14724
"(0.65,0.7]","2v2",0.937489462148036,11862
"(0.7,0.75]","2v2",0.970734428890241,9858
"(0.75,0.8]","2v2",0.987965485921889,6606
"(0.8,0.85]","2v2",0.99645390070922,2538
"(0.85,0.9]","2v2",1,360
"(0.1,0.15]","3v3",0,6
"(0.15,0.2]","3v3",0,210
"(0.2,0.25]","3v3",0.00553385416666667,1536
"(0.25,0.3]","3v3",0.0226644555002764,3618
"(0.3,0.35]","3v3",0.0457467853610287,6066
"(0.35,0.4]","3v3",0.110381077529566,9132
"(0.4,0.45]","3v3",0.219326818675353,11052
"(0.45,0.5]","3v3",0.404234737747206,13956
"(0.5,0.55]","3v3",0.621822803195352,13770
"(0.55,0.6]","3v3",0.77503261578604,12264
"(0.6,0.65]","3v3",0.913895371450797,10284
"(0.65,0.7]","3v3",0.952120475418693,7404
"(0.7,0.75]","3v3",0.99025069637883,4308
"(0.75,0.8]","3v3",0.997626582278481,1896
"(0.8,0.85]","3v3",0.998971193415638,486
"(0.85,0.9]","3v3",1,12
